FlowCell Text Data File: 20241104_i287_4.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:27:29
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
830080, 328486, 36.74, -0.076700, , 
829612, 328487, 36.84, -0.075424, , 
829930, 328569, 36.94, -0.075725, , 
829444, 328413, 37.04, -0.075475, , 
830539, 328703, 37.14, -0.076458, , 
830408, 328651, 37.24, -0.076459, , 
830607, 328665, 37.34, -0.076902, , 
830341, 328544, 37.43, -0.077010, , 
830697, 328554, 37.53, -0.077906, , 
831684, 328541, 37.63, -0.080668, , 
832158, 328644, 37.73, -0.081244, , 
832659, 328776, 37.83, -0.081695, , 
832401, 328542, 37.93, -0.082600, , 
833124, 328538, 38.03, -0.084581, , 
833591, 328553, 38.13, -0.085740, , 
833943, 328626, 38.23, -0.086190, , 
834081, 328596, 38.33, -0.086768, , 
834828, 328694, 38.42, -0.088111, , 
834922, 328631, 38.52, -0.088796, , 
835318, 328525, 38.62, -0.090589, , 
836051, 328659, 38.72, -0.091645, , 
836230, 328643, 38.82, -0.092236, , 
836560, 328612, 38.92, -0.093337, , 
836904, 328615, 39.02, -0.094241, , 
836826, 328515, 39.11, -0.094716, , 
836939, 328504, 39.22, -0.095096, , 
837157, 328473, 39.32, -0.095894, , 
837573, 328498, 39.41, -0.096841, , 
837836, 328645, 39.51, -0.096541, , 
838250, 328517, 39.61, -0.098529, , 
838152, 328555, 39.71, -0.098006, , 
838454, 328489, 39.81, -0.099268, , 
838782, 328612, 39.91, -0.099306, , 
839179, 328602, 40.00, -0.100439, , 
839002, 328619, 40.10, -0.099848, , 
838944, 328482, 40.20, -0.100631, , 
838817, 328553, 40.30, -0.099804, , 
839126, 328652, 40.40, -0.099955, , 
839635, 328559, 40.50, -0.101957, , 
839786, 328692, 40.60, -0.101450, , 
839190, 328569, 40.70, -0.100695, , 
839040, 328561, 40.80, -0.100347, , 
838814, 328407, 40.89, -0.100796, , 
838734, 328505, 40.99, -0.099910, , 
838575, 328716, 41.09, -0.098039, , 
837865, 328616, 41.19, -0.096817, , 
837363, 328609, 41.29, -0.095516, , 
836352, 328472, 41.39, -0.093736, , 
836066, 328519, 41.49, -0.092644, , 
835164, 328591, 41.58, -0.089722, , 
834043, 328535, 41.68, -0.087083, , 
832988, 328485, 41.79, -0.084577, , 
831753, 328443, 41.88, -0.081526, , 
830760, 328391, 41.98, -0.079194, , 
829955, 328475, 42.08, -0.076436, , 
829137, 328505, 42.18, -0.074012, , 
828828, 328571, 42.28, -0.072721, , 
828459, 328727, 42.38, -0.070650, , 
828144, 328688, 42.47, -0.070062, , 
827372, 328625, 42.57, -0.068394, , 
826754, 328437, 42.67, -0.068000, , 
826424, 328389, 42.77, -0.067431, , 
826701, 328429, 42.87, -0.067911, , 
826757, 328401, 42.97, -0.068255, , 
826583, 328388, 43.07, -0.067871, , 
827004, 328539, 43.17, -0.067982, , 
827278, 328590, 43.26, -0.068378, , 
829074, 328631, 43.36, -0.072978, , 
829397, 328831, 43.46, -0.072485, , 
829761, 328770, 43.56, -0.073890, , 
829827, 328805, 43.66, -0.073830, , 
831313, 328620, 43.76, -0.079122, , 
831178, 328662, 43.86, -0.078469, , 
831986, 328761, 43.96, -0.079978, , 
832136, 328636, 44.06, -0.081240, , 
833078, 328669, 44.15, -0.083560, , 
833233, 328632, 44.25, -0.084232, , 
834147, 328556, 44.35, -0.087220, , 
834451, 328687, 44.45, -0.087142, , 
835294, 328661, 44.55, -0.089593, , 
835376, 328680, 44.65, -0.089684, , 
836345, 328691, 44.75, -0.092217, , 
836247, 328787, 44.84, -0.091296, , 
836555, 328735, 44.95, -0.092481, , 
837065, 328800, 45.05, -0.093408, , 
837421, 328915, 45.14, -0.093578, , 
837269, 328749, 45.24, -0.094305, , 
837729, 328779, 45.34, -0.095336, , 
837668, 328811, 45.44, -0.094953, , 
837623, 328737, 45.54, -0.095339, , 
835351, 328376, 45.64, -0.091699, , 
836475, 328382, 45.74, -0.094684, , 
836626, 328367, 45.83, -0.095193, , 
835664, 328441, 45.93, -0.092096, , 
835300, 328483, 46.03, -0.090828, , 
835073, 328640, 46.13, -0.089141, , 
835280, 328634, 46.23, -0.089740, , 
833483, 328537, 46.33, -0.085558, , 
832809, 328625, 46.43, -0.083134, , 
831536, 328609, 46.52, -0.079801, , 
831699, 328644, 46.63, -0.080003, , 
830013, 328739, 46.73, -0.074786, , 
828951, 328755, 46.82, -0.071795, , 
827696, 328673, 46.92, -0.068947, , 
827570, 328818, 47.02, -0.067611, , 
827562, 329102, 47.12, -0.065647, , 
827231, 328946, 47.22, -0.065813, , 
826316, 328921, 47.32, -0.063494, , 
826537, 328933, 47.41, -0.064014, , 
826363, 329015, 47.52, -0.062979, , 
826576, 328909, 47.61, -0.064284, , 
826040, 328849, 47.71, -0.063235, , 
826655, 328954, 47.81, -0.064191, , 
827049, 329036, 47.91, -0.064703, , 
827286, 328926, 48.01, -0.066100, , 
828176, 329093, 48.11, -0.067377, , 
828428, 328972, 48.20, -0.068890, , 
828799, 329022, 48.31, -0.069555, , 
829509, 329026, 48.40, -0.071455, , 
829623, 328867, 48.50, -0.072852, , 
830145, 328897, 48.60, -0.074062, , 
831295, 329009, 48.70, -0.076411, , 
831193, 329010, 48.80, -0.076128, , 
831491, 329036, 48.90, -0.076757, , 
831742, 328989, 48.99, -0.077758, , 
832737, 328895, 49.09, -0.081092, , 
832543, 328814, 49.19, -0.081121, , 
832511, 328725, 49.29, -0.081644, , 
832908, 328838, 49.39, -0.081944, , 
834473, 328957, 49.49, -0.085354, , 
834333, 329014, 49.59, -0.084586, , 
833829, 328898, 49.69, -0.084020, , 
833013, 328672, 49.79, -0.083364, , 
833193, 328718, 49.89, -0.083535, , 
832525, 328536, 49.98, -0.082976, , 
832745, 328551, 50.08, -0.083468, , 
832541, 328703, 50.18, -0.081876, , 
832176, 328677, 50.28, -0.081067, , 
831438, 328625, 50.38, -0.079427, , 
831104, 328635, 50.48, -0.078454, , 
830502, 328715, 50.58, -0.076275, , 
830122, 328831, 50.68, -0.074451, , 
829452, 328832, 50.78, -0.072628, , 
829061, 328837, 50.88, -0.071532, , 
828485, 328814, 50.97, -0.070126, , 
827920, 328789, 51.07, -0.068761, , 
827535, 328869, 51.17, -0.067167, , 
826996, 328804, 51.27, -0.066146, , 
826440, 328707, 51.37, -0.065296, , 
825982, 328632, 51.47, -0.064562, , 
826486, 328842, 51.56, -0.064497, , 
825488, 328599, 51.67, -0.063442, , 
825540, 328665, 51.76, -0.063132, , 
825994, 328818, 51.86, -0.063322, , 
826344, 328758, 51.96, -0.064686, , 
826394, 328759, 52.06, -0.064815, , 
826937, 328856, 52.16, -0.065629, , 
827242, 328954, 52.25, -0.065789, , 
828542, 329018, 52.35, -0.068885, , 
828490, 329072, 52.45, -0.068374, , 
828825, 329066, 52.55, -0.069325, , 
828421, 328825, 52.65, -0.069876, , 
828856, 328791, 52.75, -0.071291, , 
829317, 328830, 52.85, -0.072275, , 
829828, 328740, 52.95, -0.074277, , 
830074, 328799, 53.05, -0.074540, , 
830712, 328844, 53.15, -0.075961, , 
830812, 328797, 53.24, -0.076554, , 
831316, 328853, 53.34, -0.077535, , 
831336, 328829, 53.44, -0.077754, , 
831501, 328779, 53.54, -0.078543, , 
831679, 328724, 53.64, -0.079401, , 
