distance_mm,absorbance,fraction_number,fraction_volume_ml
14.19,0.05491319688118607,NA,NA
14.22,0.054230774815237956,NA,NA
14.25,0.053461235038743185,NA,NA
14.28,0.05283205157368469,NA,NA
14.31,0.052086711161230786,NA,NA
14.34,0.05136557011281749,NA,NA
14.37,0.05071702715652641,NA,NA
14.4,0.05002976521777014,NA,NA
14.43,0.04947317984483372,NA,NA
14.46,0.04868912044991464,NA,NA
14.49,0.04795829965588505,NA,NA
14.52,0.04732427631801841,NA,NA
14.55,0.04670961247138435,NA,NA
14.58,0.04616270684406423,NA,NA
14.61,0.04574163790975581,NA,NA
14.64,0.045364127830720705,NA,NA
14.67,0.04493337915079599,NA,NA
14.7,0.0445365095805283,NA,NA
14.73,0.044226757720807135,NA,NA
14.76,0.04382020840492315,NA,NA
14.79,0.04348625718116138,NA,NA
14.82,0.04321522430390539,NA,NA
14.85,0.043210384431097246,NA,NA
14.88,0.04347657743554509,NA,NA
14.91,0.043829888150539446,NA,NA
14.94,0.04425095708484787,NA,NA
14.97,0.044802702584976144,NA,NA
15,0.045349608212296263,NA,NA
15.03,0.046186906208104964,NA,NA
15.06,0.04707744280480316,NA,NA
15.09,0.04796797940150135,NA,NA
15.12,0.04949253933606631,NA,NA
15.15,0.050944501178509065,NA,NA
15.18,0.05283205157368469,NA,NA
15.21,0.05474380133290105,NA,NA
15.24,0.05698466244307103,NA,NA
15.27,0.06007250129466601,NA,NA
15.3,0.06246823833469657,NA,NA
15.33,0.0660303847214896,NA,NA
15.36,0.06935053746787538,NA,NA
15.39,0.07295140283713346,NA,NA
15.42,0.0776896383163051,NA,NA
15.45,0.08223911875595913,NA,NA
15.48,0.0870741516912936,NA,NA
15.51,0.09219473712230848,NA,NA
15.54,0.0977073522507829,NA,NA
15.57,0.10464772985765936,NA,NA
15.6,0.11110896005652975,NA,NA
15.63,0.11936578306722108,NA,NA
15.66,0.1270369814681271,NA,NA
15.69,0.13373536543459646,NA,NA
15.72,0.14345383003334672,NA,NA
15.75,0.15208816312307316,NA,NA
15.78,0.16249872953338798,NA,NA
15.81,0.17192680176364966,NA,NA
15.84,0.18180498216506877,NA,NA
15.87,0.19366267054501818,NA,NA
15.9,0.20222924541543055,NA,NA
15.93,0.21441120527352545,NA,NA
15.96,0.22516540265321833,NA,NA
15.99,0.23620999240139978,NA,NA
16.02,0.24959708058872215,NA,NA
16.05,0.26130473291161915,NA,NA
16.08,0.2751709685069477,NA,NA
16.11,0.2851362666189134,NA,NA
16.14,0.297110111946258,NA,NA
16.17,0.3111263835986391,NA,NA
16.2,0.32309538905317575,NA,NA
16.23,0.337087461341516,NA,NA
16.26,0.348930630103041,NA,NA
16.29,0.36034305018464124,NA,NA
16.32,0.37140699942405514,NA,NA
16.35,0.38216119680374805,NA,NA
16.38,0.3945561110654013,NA,NA
16.41,0.40503927556783814,NA,NA
16.44,0.41513525024562364,NA,NA
16.47,0.42636375516051445,NA,NA
16.5,0.43364776373676905,NA,NA
16.53,0.44405833014708374,NA,NA
16.56,0.45211671837264117,NA,NA
16.59,0.4597637174095066,NA,NA
16.62,0.4680302201658141,NA,NA
16.65,0.4744478915094112,NA,NA
16.68,0.48090912170828154,NA,NA
16.71,0.4848632977925341,NA,NA
16.74,0.4889771896794553,NA,NA
16.77,0.4930136436014462,NA,NA
16.8,0.49588368817667483,NA,NA
16.83,0.4986472555501242,NA,NA
16.86,0.5005009268356428,NA,NA
16.89,0.5017350944017192,NA,NA
16.92,0.5023255588843126,NA,NA
16.95,0.5023933171036266,NA,NA
16.98,0.501696375419254,NA,NA
17.01,0.5004767274716021,NA,NA
17.04,0.4987730922431359,NA,NA
17.07,0.4959853255056458,NA,NA
17.1,0.49309108156637643,NA,NA
17.13,0.48979996805683956,NA,NA
17.16,0.4859909881568313,NA,NA
17.19,0.4816399425023111,NA,NA
17.22,0.47609828813698785,3,0.817
17.25,0.47112289889021725,NA,NA
17.28,0.4651650154633936,NA,NA
17.31,0.45988471422971017,NA,NA
17.34,0.45524327620670135,NA,NA
17.37,0.4484384150384529,NA,NA
17.4,0.44235469491861756,NA,NA
17.43,0.4359660628118694,NA,NA
17.46,0.4282851846653471,NA,NA
17.49,0.42159648044449405,NA,NA
