sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RBBP5,4,0.53116,0.62049,NA,1330,1,0.86101,0.86173,NA,1869,0,-0.030738,0.62049,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DLX5,3,0.15404,0.25073,NA,640,2,0.8621,0.86185,NA,1870,0,-0.15433,0.25073,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NFS1,4,0.36042,0.50535,NA,1102,1,0.8629,0.86366,NA,1871,0,-0.077614,0.50535,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RIMS1,4,0.69896,0.72009,NA,1564,1,0.86342,0.86411,NA,1872,0,0.030427,0.86411,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,BUD13,4,0.7916,0.7936,NA,1737,1,0.86384,0.86454,NA,1873,0,-0.063236,0.7936,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CPSF3,4,0.20532,0.33853,NA,765,2,0.86435,0.8651,NA,1874,0,-0.10599,0.33853,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,H4C5,4,0.67028,0.70039,NA,1514,1,0.86477,0.86551,NA,1875,0,0.037404,0.86551,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,FRG1,4,0.76478,0.77019,NA,1681,1,0.86498,0.86573,NA,1876,0,-0.0071388,0.77019,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PHGDH,4,0.78464,0.78724,NA,1721,1,0.8658,0.86652,NA,1877,0,-2.9992e-4,0.78724,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RBFOX3,4,0.068456,0.15486,0.226287,333,3,0.8659,0.8666,NA,1878,0,-0.069353,0.15486,0.226287,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SF3B2,4,0.245,0.38119,NA,853,2,0.86631,0.86701,NA,1879,0,-0.18874,0.38119,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,GTF3A,4,2.3194e-4,9.4888e-4,NA,3,2,0.86662,0.86732,NA,1880,0,-0.077798,9.4888e-4,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TMSB4X,3,0.56428,0.58349,NA,1368,1,0.86678,0.86647,NA,1881,0,-0.0094056,0.58349,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RCC1L,4,0.87705,0.87763,NA,1914,0,0.86886,0.86937,NA,1882,0,-0.029476,0.87763,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,AFF2,4,0.29019,0.43002,NA,954,2,0.86896,0.86948,NA,1883,0,-0.069069,0.43002,1,2
