treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,SF3B5,0.46384,0.063451,0.011932,day13,-6.2573,0.007317
heavy,mono,rep1,SF3B5,0.46384,0.063451,0.011932,day7,-4.04,8.7e-4
heavy,mono,rep1,ZNFX1,0.13536,0.063451,0.0121,day13,1.1267,0.112487
heavy,mono,rep1,ZNFX1,0.13536,0.063451,0.0121,day7,0.29617,0.312327
heavy,mono,rep1,SPAG9,0.16954,0.063451,0.012181,day13,0.2329,NA
heavy,mono,rep1,SPAG9,0.16954,0.063451,0.012181,day7,0.19377,NA
heavy,mono,rep1,HSPA1A,0.20645,0.063451,0.012213,day13,0.93853,NA
heavy,mono,rep1,HSPA1A,0.20645,0.063451,0.012213,day7,0.26769,NA
heavy,mono,rep1,MKI67,0.18293,0.063451,0.012322,day13,0.71781,NA
heavy,mono,rep1,MKI67,0.18293,0.063451,0.012322,day7,0.11812,NA
heavy,mono,rep1,ALYREF,0.10302,0.063451,0.012381,day13,-1.1947,0.346253
heavy,mono,rep1,ALYREF,0.10302,0.063451,0.012381,day7,-0.8107,0.178057
heavy,mono,rep1,METTL16,0.21741,0.065836,0.013255,day13,-1.7525,0.261062
heavy,mono,rep1,METTL16,0.21741,0.065836,0.013255,day7,0.38245,NA
heavy,mono,rep1,RBM33,0.20485,0.065836,0.013296,day13,0.83425,NA
heavy,mono,rep1,RBM33,0.20485,0.065836,0.013296,day7,0.56661,NA
heavy,mono,rep1,ANXA2,0.16742,0.065836,0.013626,day13,0.012052,NA
heavy,mono,rep1,ANXA2,0.16742,0.065836,0.013626,day7,0.069468,NA
heavy,mono,rep1,RANBP2,0.15325,0.065836,0.013649,day13,-1.1388,0.348747
heavy,mono,rep1,RANBP2,0.15325,0.065836,0.013649,day7,-0.69012,0.179711
heavy,mono,rep1,RBM25,0.46763,1,0.0075344,day13,-2.9183,0.055219
heavy,mono,rep1,RBM25,0.46763,1,0.0075344,day7,-1.1444,0.069419
heavy,mono,rep1,FARS2,0.11752,0.063451,0.011303,day13,-0.91327,0.362744
heavy,mono,rep1,FARS2,0.11752,0.063451,0.011303,day7,0.39032,0.284269
heavy,mono,rep1,NSF,0.46595,0.070028000000000007,0.014731,day13,-5.2965,0.012757
heavy,mono,rep1,NSF,0.46595,0.070028000000000007,0.014731,day7,-2.0194,0.014562
heavy,mono,rep1,HNRNPDL,0.21171,0.071466,0.015307,day13,-0.011273,NA
heavy,mono,rep1,HNRNPDL,0.21171,0.071466,0.015307,day7,-0.056833,NA
heavy,mono,rep1,SLTM,0.13734,0.071466,0.01547,day13,0.97358,NA
heavy,mono,rep1,SLTM,0.13734,0.071466,0.01547,day7,0.3542,0.290968
heavy,mono,rep1,PQBP1,0.15133,0.073135,0.016054,day13,0.8088,NA
heavy,mono,rep1,PQBP1,0.15133,0.073135,0.016054,day7,0.5071,0.154529
heavy,mono,rep1,TSEN54,0.10223,0.07361,0.016652,day13,-0.2883,NA
heavy,mono,rep1,TSEN54,0.10223,0.07361,0.016652,day7,0.37171,0.248422
heavy,mono,rep1,RIMS1,0.16594,0.07361,0.016774,day13,1.1278,0.126579
heavy,mono,rep1,RIMS1,0.16594,0.07361,0.016774,day7,0.35744,NA
heavy,mono,rep1,THOC5,0.27676,0.07361,0.017155,day13,-2.9708,0.037224
heavy,mono,rep1,THOC5,0.27676,0.07361,0.017155,day7,-0.44267,0.310795
heavy,mono,rep1,ALKBH7,0.19808,0.07361,0.017336,day13,0.95093,NA
heavy,mono,rep1,ALKBH7,0.19808,0.07361,0.017336,day7,0.21682,NA
heavy,mono,rep1,RPP25,0.15135,0.07361,0.017626,day13,1.4818,0.057489
heavy,mono,rep1,RPP25,0.15135,0.07361,0.017626,day7,0.6513,0.142883
heavy,mono,rep1,CHMP2A,0.37376,0.07361,0.017716,day13,-0.60748,NA
heavy,mono,rep1,CHMP2A,0.37376,0.07361,0.017716,day7,-0.1686,NA
heavy,mono,rep1,EIF1,0.22558,0.07361,0.018024,day13,0.3575,NA
heavy,mono,rep1,EIF1,0.22558,0.07361,0.018024,day7,-0.018451,NA
heavy,mono,rep1,ZFR,0.12037,0.07361,0.018201,day13,0.053243,NA
heavy,mono,rep1,ZFR,0.12037,0.07361,0.018201,day7,0.21309,0.324837
heavy,mono,rep1,ISG20,0.21595,0.07361,0.018414,day13,1.2136,NA
heavy,mono,rep1,ISG20,0.21595,0.07361,0.018414,day7,0.56487,0.156207
heavy,mono,rep1,SLU7,-0.041928,1,0.84077,day13,-4.4268,0.0343
heavy,mono,rep1,SLU7,-0.041928,1,0.84077,day7,-2.9318,0.00428
heavy,mono,rep1,TNRC6B,0.15715,0.07361,0.018713,day13,1.6373,0.038051
heavy,mono,rep1,TNRC6B,0.15715,0.07361,0.018713,day7,0.69135,0.131062
heavy,mono,rep1,AHCYL2,0.10413,0.07361,0.019048,day13,1.6872,0.035237
heavy,mono,rep1,AHCYL2,0.10413,0.07361,0.019048,day7,0.72729,0.107549
heavy,mono,rep1,INTS11,0.29577,0.07361,0.019211,day13,-5.3756,0.032803
heavy,mono,rep1,INTS11,0.29577,0.07361,0.019211,day7,-2.1518,0.003181
heavy,mono,rep1,IDH2,0.12102,0.07361,0.01946,day13,0.99507,NA
heavy,mono,rep1,IDH2,0.12102,0.07361,0.01946,day7,0.55758,0.184372
heavy,mono,rep1,SNRPA,0.21305,0.07361,0.0196,day13,-0.79388,NA
heavy,mono,rep1,SNRPA,0.21305,0.07361,0.0196,day7,-0.11666,NA
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day13,-5.7882,0.026378
heavy,mono,rep1,POLR2J3,0.43931,0.07361,0.019745,day7,-4.4197,8.7e-4
heavy,mono,rep1,SF3A1,0.04768,1,0.020049,day13,-5.4311,0.040167
heavy,mono,rep1,SF3A1,0.04768,1,0.020049,day7,-2.8321,0.00428
heavy,mono,rep1,SAFB,0.16857,0.07361,0.020126,day13,-0.14802,NA
heavy,mono,rep1,SAFB,0.16857,0.07361,0.020126,day7,-0.32692,0.305148
heavy,mono,rep1,HNRNPH1,0.29715,0.07361,0.020176,day13,-2.802,0.109642
heavy,mono,rep1,HNRNPH1,0.29715,0.07361,0.020176,day7,-0.73276,0.098587
