Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
20.64,0.9503055355859095,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.74,0.9719591605375213,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.84,0.9889468008626886,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.94,1,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.04,0.9907475253000054,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.14,0.97403293148260806,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.24,0.9469771332190453,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.33,0.909797876458552,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.43,0.8690551899574185,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.53,0.8155484432892771,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.63,0.76877453962285,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.73,0.7153749377868716,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.83,0.6649615661118177,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
21.93,0.6150770060277608,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.03,0.5787929270585632,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.13,0.5340686003428635,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.23,0.5013617762539401,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.32,0.4689591052369628,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.42,0.43546424818890667,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.52,0.40822872311010333,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.62,0.38406237903002816,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.72,0.3616276336891002,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
22.82,0.34208579881656803,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
