type,day,gene,A,B
total,day 13,KPNB1,-5.3463,-3.6876
grna,day 21,NOP56,-1.3985,-2.2293
total,day 21,QRSL1,-1.5011,-4.2792
grna,day 5,HNRNPA0,-0.3364,-1.9198
total,day 5,RPL10A,-1.5765,-0.87483
grna,day 13,RPS6,-3.1484,-2.2359
total,day 13,RPL10A,-5.1939,-5.0291
grna,day 21,RBM39,-2.7182,-1.2727
total,day 21,DDX3X,-3.1489,-2.7184
grna,day 5,XRCC5,-0.97126,0.40888
total,day 5,SFPQ,-1.3416,-0.97731
grna,day 13,RPL6,-2.6488,-1.2499
grna,day 21,UBC,-0.12761,-0.60351
total,day 21,PCBP1,-4.2281,-4.0129
grna,day 5,NXF1,-0.86844,-1.3065
grna,day 13,U2AF1,-3.9389,-0.98704
total,day 13,PSMD6,-4.9849,-4.5037
grna,day 21,WDR5,-1.6328,-2.727
total,day 21,SNRPD2,-3.7914,-4.46
grna,day 5,RPL36A,-0.10992,-1.2029
grna,day 13,RPS28,-2.3852,-4.0227
grna,day 21,PHB1,-3.2457,-1.2837
total,day 21,DDX54,-3.005,-4.3494
grna,day 5,RPL24,-0.75514,-1.7364
grna,day 13,C12ORF43,0.60327,2.0229
total,day 13,IMP3,-5.2497,-2.8794
grna,day 21,POLR2A,-2.7893,-1.4303
total,day 21,EIF3I,-4.3794,-4.7515
grna,day 5,SETX,0.43803,-0.64147
grna,day 13,EXOSC10,-0.02243,-2.0917
total,day 13,RBM8A,-3.8461,-4.11
grna,day 21,NPM1,-1.9957,-0.92526
total,day 21,RPS19,-4.181,-3.546
grna,day 5,CRNKL1,-0.13653,-1.2527
grna,day 13,POLR2F,-2.986,-2.9673
total,day 13,LSM6,-3.5125,-4.1378
grna,day 21,DNMT1,-2.4447,0.99854
total,day 21,PRPF38A,-4.8959,-3.9096
grna,day 5,HNRNPA3,-0.14941,-0.85904
total,day 5,SON,-0.81365,-0.75406
grna,day 13,UBE2I,-2.9613,-0.35468
total,day 13,BRF1,-3.6599,-5.2876
