type,day,gene,A,B
total,day 5,RBM14,0.76996,0.028623
total,day 13,NOS2,1.2254,0.41241
grna,day 5,RNASE3,-0.36071,0.10389
grna,day 13,RBMY1A1,0.6447,1.2002
total,day 13,ESRP2,0.91939,1.296
grna,day 21,EPS8L3,0.23255,0.43785
total,day 21,HEATR6,0.61578,1.5198
total,day 13,PTBP1,0.69888,0.39845
total,day 21,GOLGB1,2.5355,1.4349
grna,day 13,PIH1D1,0.22482,0.65127
total,day 5,MDH2,0.097343,0.73177
total,day 13,TRIM25,0.94763,1.3258
total,day 21,RNASE10,0.85263,1.9876
grna,day 5,TXNL4B,0.35923,0.53402
grna,day 13,PQBP1,0.37334,1.1737
total,day 5,TCERG1,0.33744,0.40315
grna,day 21,HSPA5,0.17915,0.52191
total,day 5,EED,0.25988,0.428
grna,day 21,METTL15,0.70523,-0.39406
total,day 21,HDAC2,1.0319,1.3049
grna,day 5,SYF2,0.081575,0.1172
total,day 5,MAT1A,0.53184,0.12287
total,day 13,CNN2,0.91133,0.050886
grna,day 21,TSEN34,1.0563,0.1791
total,day 21,DDX53,2.0195,3.36
total,day 13,GOLGB1,1.5778,1.1653
grna,day 21,AKAP8L,1.3265,1.4483
total,day 21,PPARGC1B,1.825,0.72093
grna,day 5,C2ORF15,0.33848,0.6739
total,day 5,ZNF326,0.13131,-0.032619
total,day 13,RBM4,0.71493,1.0081
grna,day 21,UTP14C,1.444,1.0738
total,day 21,TLN1,1.1984,2.0504
total,day 13,NLUC,1.3912,1.5763
grna,day 21,TRDMT1,0.57109,1.5944
total,day 21,RBFOX1,2.9444,2.1374
total,day 13,OGN,0.95243,1.2536
total,day 21,SUCO,1.8765,1.6825
grna,day 5,PCBP3,0.42321,-0.10695
grna,day 13,DHX58,1.3363,1.8076
grna,day 21,RPP25L,0.72749,1.3925
total,day 21,PABPN1L,0.84052,1.4872
grna,day 13,TENT4A,1.041,1.3453
grna,day 21,CNP,2.0853,0.52191
grna,day 21,PPIB,0.043466,3.6899
grna,day 5,MATR3,-0.10695,0.48104
total,day 13,DUS3L,0.44617,1.1635
total,day 21,TRMT1,1.2996,1.2995
grna,day 5,FLNA,0.13924,-0.10695
total,day 5,RPL7L1,-0.22033,-0.049209
grna,day 13,DDX31,0.6552,0.20609
total,day 21,RWDD4,1.1685,3.9173
grna,day 21,ATXN2L,-0.022449,0.84744
total,day 21,ZNF598,1.3574,2.1384
grna,day 13,OAS1,0.86032,0.56778
total,day 13,NRAP,1.0115,1.5862
total,day 21,PARN,1.6133,1.1173
total,day 5,H4C6,0.054978,-0.0072717
total,day 13,MKRN1,0.15842,1.2507
total,day 21,TMEM214,1.342,1.2084
total,day 5,LSM10,0.42415,0.04089
grna,day 21,PDS5A,1.0562,0.38504
total,day 21,HADH,1.7224,2.8114
grna,day 5,APOBEC3G,0.60276,0.46427
total,day 5,DIS3L,0.43388,0.049402
grna,day 21,UHMK1,0.24913,1.6078
total,day 5,ELP3,0.24927,-0.07574
grna,day 13,DBI,2.0542,0.12217
total,day 13,SYNE2,0.40461,0.74154
grna,day 21,LAMA2,0.35913,0.47301
grna,day 5,SEPTIN7,0.50874,0.41237
total,day 5,ANKRD17,0.41562,-0.27252
grna,day 13,FBXO17,1.2435,1.1953
total,day 13,TMA7,1.1443,0.45036
grna,day 5,GRN,0.66897,0.14572
total,day 5,RRBP1,-0.022038,0.45182
total,day 13,SMAD9,1.3709,1.0338
total,day 21,MSI2,1.61,2.0792
total,day 5,PUM3,0.23031,0.76534
total,day 13,TRUB1,1.4375,1.39
grna,day 21,MCRIP2,0.93185,0.7267
grna,day 5,TRMT10C,0.8398,0.4747
total,day 5,YWHAG,-0.29123,0.29465
total,day 13,OTUD4,0.61472,1.844
total,day 21,EEF2K,1.6709,1.254
total,day 5,KCTD12,0.12656,0.025946
grna,day 13,REPIN1,0.56436,0.051965
grna,day 21,C7ORF50,2.3377,1.546
total,day 21,FXR2,1.6145,1.8814
grna,day 13,TERT,-0.1023,2.0047
grna,day 21,UBAP2,0.83192,1.3331
total,day 21,ADAD2,2.1887,0.76238
grna,day 5,TRMT1L,0.80871,-0.1262
total,day 13,CCNT1,0.90532,0.28974
total,day 21,YWHAG,1.9493,1.592
grna,day 13,SPTBN1,0.65215,0.41716
grna,day 21,MACROH2A1,0.29687,1.6517
total,day 21,CFAP65,2.9769,1.2309
grna,day 13,EIF2AK2,0.40306,0.29376
total,day 13,STAU1,0.74934,0.65629
total,day 5,EIF3L,-0.14627,0.36637
total,day 13,H1-2,1.1495,0.44606
total,day 21,RBPMS2,1.2243,2.1921
total,day 21,ENDOU,1.4534,1.2911
grna,day 5,PABPC4,1.1297,0.77321
grna,day 13,ERF,0.56368,0.74615
grna,day 21,MNEONGREEN,2.0921,0.99422
total,day 21,PUM3,1.1559,3.2703
total,day 5,APTX,0.17473,0.41727
grna,day 21,TRMT1,1.1598,0.5073
total,day 5,GTPBP10,0.58093,0.53108
grna,day 13,EEF2K,0.95931,0.95246
grna,day 21,NUCKS1,3.0392,0.26256
grna,day 5,TENT4B,0.58444,-0.036
grna,day 13,CKAP4,0.47494,1.4511
total,day 13,LMNA,0.87937,0.64419
grna,day 21,PDCD4,0.34439,0.61192
total,day 21,C17ORF85,3.3646,1.3466
total,day 5,MRPL36,0.33325,-0.1058
grna,day 13,LAMA2,0.68822,0.9703
total,day 13,CSTF2,1.0984,0.52816
grna,day 13,TBL2,0.28384,1.557
grna,day 21,MSI2,0.72688,0.95774
total,day 21,RNASEL,2.946,1.8843
grna,day 13,DHX34,1.3858,0.57549
total,day 13,PTPN12,0.75509,1.4944
grna,day 21,YBX2,1.7799,0.32101
total,day 21,CISD2,1.1736,3.5502
grna,day 5,TFRC,0.44085,0.09312
grna,day 13,ZNF473,1.4833,0.61704
total,day 13,TRMT1,0.95032,0.46966
grna,day 21,NPM2,0.19453,1.9821
grna,day 5,CELF3,-0.092734,0.26107
total,day 5,DENR,-0.27727,-0.082223
grna,day 13,ATP5F1C,0.48431,0.029676
total,day 13,DAZ3,1.678,2.0593
grna,day 21,PURG,1.6514,0.6211
grna,day 13,ELAVL3,0.90523,1.5506
total,day 13,R3HDM2,-0.13427,1.5713
grna,day 21,QTRT1,1.41,0.18858
total,day 13,LGALS3,1.558,0.61615
grna,day 21,TOP3B,1.1072,0.31923
total,day 21,C1ORF52,1.348,0.54553
grna,day 5,RIMS1,0.42236,0.22734
grna,day 21,PCBP4,1.6675,0.57106
total,day 21,GUF1,0.95081,1.6562
grna,day 13,FKBP3,0.77394,0.11252
total,day 13,HSP90AA1,0.97746,1.8025
total,day 21,SCAF1,2.1458,2.0621
grna,day 13,MARF1,0.54966,1.0188
total,day 13,CELF3,1.0881,2.0333
total,day 13,NKRF,1.4136,0.62799
grna,day 21,TRIM25,0.10225,1.5121
total,day 21,ALDH7A1,2.2307,0.20186
grna,day 5,AZGP1,0.906,0.032384
grna,day 13,ALKBH5,0.0027123,1.3007
total,day 13,H1-5,1.4493,2.0872
grna,day 21,THUMPD3,-0.069217,1.1162
total,day 21,PHGDH,1.3718,1.1262
grna,day 5,EIF4E2,0.85548,0.035467
total,day 5,NFX1,0.077474,-0.095802
grna,day 13,EPB41L2,1.5941,1.665
grna,day 21,RBPMS2,1.8077,1.9064
total,day 21,RAX,2.7409,1.0515
grna,day 5,MRPL1,0.33716,0.62577
grna,day 13,ZNF474,0.57645,1.7039
total,day 13,DAZ1,1.2851,1.4282
grna,day 5,DKC1,0.26189,0.30638
total,day 5,OSGEP,0.038997,0.23721
total,day 21,IFIT3,2.004,1.8229
total,day 5,ALKBH4,0.039804,0.025967
total,day 13,DCPS,0.52836,1.4231
grna,day 5,DHX35,0.16381,0.49501
grna,day 13,HNRNPLL,1.4444,1.3522
grna,day 21,ZCCHC14,1.7245,1.4967
total,day 21,ELAVL4,1.8531,2.805
grna,day 13,NDUFS6,1.293,-0.054403
total,day 13,ARL6IP4,0.86052,1.7675
grna,day 5,CPEB2,0.047341,0.10548
total,day 5,SETD7,0.083417,0.073262
grna,day 13,YLPM1,0.092108,0.15238
grna,day 21,MARF1,0.89844,1.8626
total,day 21,HMGB2,2.092,1.6668
grna,day 13,AGFG1,0.81146,0.28818
grna,day 21,EBNA1BP2,0.87475,0.5141
total,day 21,NCOA5,3.1179,1.1817
grna,day 5,RNASE12,0.40055,0.29665
grna,day 13,MRPS15,0.45957,1.1263
total,day 13,SLC25A11,1.1185,1.3445
grna,day 21,CCDC124,1.2325,0.55461
grna,day 5,EIF3J,0.68644,0.59119
grna,day 21,PABPC4,0.9501,0.69969
total,day 21,IPO5,2.0775,0.82761
grna,day 5,UTP25,0.026068,0.36221
total,day 5,CDV3,-0.10192,-0.080355
total,day 21,SCAF8,2.6466,1.2281
grna,day 13,RBMY1E,1.2403,2.2376
total,day 13,R3HCC1L,0.49099,1.6592
grna,day 21,BICC1,0.98534,0.71739
total,day 21,QTRT1,1.7635,2.1993
total,day 5,CPEB4,0.29021,0.15498
total,day 13,FLNB,0.52661,0.74852
grna,day 21,C4BPA,0.78654,1.8874
grna,day 5,DHX57,0.13249,0.68302
total,day 13,EIF1AY,0.89895,1.2754
total,day 21,PDCD4,0.6461,1.6374
grna,day 5,MRPL14,1.4672,0.734
total,day 21,HSP90AB1,1.7263,0.62906
total,day 5,CNBP,-0.1553,0.090962
grna,day 13,PAIP2,2.0979,0.38869
total,day 13,APOBEC3C,1.1425,1.7269
total,day 21,KHDC1L,1.8082,1.364
total,day 5,SNUPN,0.040756,0.48502
total,day 13,HSPB1,1.1188,1.752
total,day 21,ADAD1,1.3897,2.4837
grna,day 13,DRG2,0.48974,0.20555
grna,day 21,MSL1,-0.069217,1.3767
total,day 21,AGO1,1.6035,0.7422
grna,day 5,ZNF239,-0.022511,0.45753
total,day 5,SEPSECS,0.15485,0.41285
grna,day 5,LRRC47,0.21138,0.95912
grna,day 13,DHX29,0.37816,0.27689
total,day 21,ELAVL1,1.1944,1.0547
grna,day 5,KYAT3,0.57958,-0.27614
grna,day 13,SEC63,1.3855,1.0799
grna,day 21,RBM5,0.56308,0.26256
total,day 5,MRPL20,0.17305,0.031513
grna,day 13,PABPN1L,0.78289,0.79765
total,day 13,DZIP1,2.3725,0.42409
grna,day 5,RNF17,0.60204,0.42774
total,day 13,TFRC,0.87449,1.7808
grna,day 21,CDKN2A,1.2938,2.1022
total,day 21,SRPK1,1.2817,2.4996
total,day 13,CPSF7,0.77722,0.6693
grna,day 21,RDM1,0.94314,0.48188
total,day 21,ARL6IP4,1.3098,2.6222
grna,day 21,SUB1,1.2482,1.7915
grna,day 5,TDRD5,-0.11303,0.47705
total,day 13,SPATS2,0.31424,0.42235
grna,day 21,PRR3,1.0434,1.4228
grna,day 13,SMG8,0.01391,0.71191
total,day 13,RPP25,1.9305,1.5088
grna,day 21,NOVA2,2.1002,1.0763
total,day 21,DNAJB12,0.57686,1.5732
grna,day 13,CCNT1,0.35517,1.3205
total,day 21,APEX1,1.276,1.7055
total,day 13,GRB2,1.1927,1.1538
grna,day 13,PLEC,1.1471,0.37822
grna,day 21,NSFL1C,0.16688,1.1682
total,day 21,YWHAE,0.72834,2.7689
total,day 5,TBL2,-0.32533,0.56649
grna,day 13,PPIF,0.071159,2.0715
total,day 13,PABPN1L,0.8568,0.88563
grna,day 21,RBM41,1.6659,1.1649
total,day 21,PCDH20,1.5652,1.4124
grna,day 5,CTU1,-0.076293,0.6625
total,day 5,AEN,0.32373,-0.061796
total,day 13,CMTR2,1.2834,0.74899
grna,day 21,RPRD2,1.6439,1.1653
total,day 5,SKIC2,0.15222,0.35705
total,day 13,NANOS3,0.5577,1.2511
total,day 21,FLNB,1.1465,1.5344
grna,day 13,ALKBH4,1.3444,1.0811
total,day 13,TOP3B,0.85209,0.95989
grna,day 21,MPST,1.5718,1.1218
grna,day 5,FTSJ1,0.51374,0.64977
grna,day 13,CHD2,1.2276,1.74
total,day 13,CANX,0.9459,0.44203
grna,day 21,CPEB1,1.0744,0.13292
total,day 21,CCNT1,2.0273,1.1842
total,day 5,TDRD6,0.18153,0.70271
grna,day 13,FAM98B,0.32018,0.07693
grna,day 21,ADARB1,1.3013,0.47569
grna,day 5,DIDO1,0.50602,0.98431
grna,day 13,SECISBP2L,1.4082,1.0147
total,day 13,HSP90AB1,0.84522,0.29944
grna,day 21,HNRNPLL,2.2409,1.2601
total,day 5,ADARB1,0.06587,0.14702
grna,day 13,NUFIP1,0.49101,0.54505
total,day 13,DZIP3,0.11585,0.96027
grna,day 5,SNRPN,0.6128,2.1526
total,day 5,APOB,0.2338,0.075853
grna,day 13,UBAP2,1.2325,1.0254
total,day 13,SMAD3,0.84998,0.22461
grna,day 21,ASH1L,2.2008,0.52191
total,day 21,ASH1L,2.2498,0.2683
grna,day 5,PAN2,-0.2803,0.94656
total,day 5,RNF17,0.28883,0.23654
grna,day 13,RBMY1F,1.6383,2.2286
grna,day 21,LARP4B,1.0821,0.59423
total,day 21,RTCA,2.2326,0.86192
grna,day 21,FBXO17,1.5433,0.39223
total,day 21,ANXA7,2.477,0.08297
grna,day 13,SUMO1,0.6249,1.0943
total,day 13,PRRC2B,1.2648,0.5135
total,day 21,RRBP1,2.4049,2.9903
grna,day 13,ZC3H12C,1.59,2.2787
total,day 13,SECISBP2L,0.68701,1.0084
grna,day 5,RAD1,0.051772,0.25595
grna,day 21,RNASE2,1.1475,0.80962
total,day 21,HEXIM2,1.3896,0.63794
total,day 13,TLR8,0.7599,1.5803
total,day 5,ZNF579,0.36475,0.39923
grna,day 13,DHX32,0.72258,0.92708
grna,day 21,ALDH18A1,0.48043,1.4406
total,day 13,S100A4,0.81104,1.3743
grna,day 21,TUT4,2.2079,1.2315
total,day 21,RBMY1F,2.8711,0.92668
total,day 5,ALKBH1,0.2648,0.19491
grna,day 5,PSIP1,0.13857,1.2939
total,day 5,MARK2,0.013902,0.68379
grna,day 13,CLK4,1.4257,1.3143
total,day 13,DNAJC1,1.3385,1.4057
grna,day 21,NLUC,2.9016,2.4216
total,day 21,ANGEL1,1.5615,1.7985
total,day 13,LSM14B,0.90508,0.1085
total,day 21,FASTKD1,1.4959,2.2064
grna,day 5,DUS4L,0.73159,0.72011
grna,day 13,TDRKH,0.19324,0.53818
total,day 13,XPO4,0.051847,1.858
total,day 5,MRPL47,-0.073033,0.0090967
total,day 13,ACAT1,0.72692,1.507
total,day 21,AFF4,0.73357000000000006,0.7564
grna,day 5,GNL3,1.8896,0.62773
total,day 5,DZIP1,0.33737,0.44127
grna,day 21,XPO6,1.3872,0.31889
total,day 21,KHSRP,0.53149,1.9646
grna,day 5,TGS1,0.97235,0.2838
total,day 5,RPP25L,-0.080355,0.28077
grna,day 13,NSUN5,0.82989,1.5321
total,day 13,RAC1,1.3235,-0.16209
grna,day 21,TDRD9,0.27851,0.38246
grna,day 5,TSFM,0.10789,0.56726
total,day 13,SLC16A3,1.7068,0.95526
total,day 21,RBMY1J,1.6606,2.6264
grna,day 5,PIWIL4,1.1357,0.29984
total,day 5,ENOX2,0.09063,0.32723
total,day 13,ADARB2,1.1596,0.27635
grna,day 21,TRMT10B,3.717,1.492
total,day 21,GPATCH4,0.79066,0.66964
grna,day 5,MTG1,0.24073,0.4847
total,day 5,TDRD7,0.27999,0.36236
total,day 13,ELOF1,0.042003,0.83838
total,day 21,GGCT,1.1775,2.1422
grna,day 5,PURA,0.78852,0.48656
total,day 5,RPL3L,-0.14304,0.16116
grna,day 13,C1ORF204,1.1469,0.28424
grna,day 21,GNE,2.2139,2.2458
total,day 13,CLK1,1.8859,1.9191
total,day 21,SCAMP2,0.63433,1.516
total,day 5,SDAD1,-0.077327,-0.040776
grna,day 13,MKRN1,0.058455,1.0497
grna,day 21,ZC3H15,1.2509,1.0052
total,day 21,NSUN7,0.91753,2.3504
grna,day 13,MEX3B,1.4196,0.47717
total,day 21,SEC61B,1.7377,0.89623
grna,day 5,CSTF2,0.41512,0.81997
grna,day 13,LGALS1,0.30124,0.8334
grna,day 21,ZGPAT,0.53369,1.1674
total,day 21,SWT1,1.8302,1.317
grna,day 13,CPSF4L,1.3483,0.73089
total,day 13,RNASE13,0.13724,0.53484
grna,day 21,MSN,0.25881,2.2335
total,day 5,TRIM71,0.53492,-0.32646
grna,day 21,HMGN5,0.15474,1.1423
total,day 21,SND1,1.846,0.82597
grna,day 13,ELAVL4,0.16366,1.8141
grna,day 21,DBT,0.76092,0.80068
total,day 21,HLA-A,3.3604,0.9243
grna,day 21,HERC5,1.4005,1.1162
total,day 21,C2ORF15,1.3906,3.2207
total,day 5,RAF1,0.72608,0.08663
total,day 13,IQCG,0.3142,1.1645
grna,day 21,SDS,2.3954,0.57137
grna,day 5,C14ORF142,0.23768,0.35477
total,day 13,FBP2,0.69653,1.2222
total,day 21,HSP90AA1,1.57,2.5174
total,day 5,ZC3H10,0.091518,0.44993
total,day 21,EEF1A2,2.6085,1.1885
grna,day 13,DIO1,0.86665,1.6877
total,day 13,PDCD4,0.78021,1.3693
grna,day 21,PEBP1,0.73643,1.7263
total,day 21,SKIC2,1.1763,1.7037
grna,day 13,CTIF,0.48431,1.7633
total,day 13,ALKBH3,0.75735,0.47482
grna,day 13,DDX53,1.4164,1.3484
grna,day 21,BAZ2A,0.3876,0.7883
total,day 13,ZNF474,0.36416,2.1136
grna,day 21,THOC6,0.16425,0.026366
total,day 21,SLTM,2.0486,0.25625
grna,day 5,N4BP2,0.30887,0.8357
total,day 5,CNOT6L,-0.29032,0.4103
total,day 13,DDX60,2.2535,2.185
grna,day 21,IFIT1B,2.2927,2.1342
total,day 13,PUS3,0.9141,1.8417
grna,day 21,PDCD6IP,0.71436,1.8768
grna,day 5,HIBADH,0.13403,0.42204
grna,day 13,LTA4H,1.6115,0.42039
total,day 13,MPP4,0.54503,1.3771
grna,day 21,UPF3B,0.22904,0.10225
total,day 5,BAZ2A,0.24686,-0.058549
grna,day 13,XIRP1,1.2064,2.0119
total,day 13,GPR161,0.74386,1.7488
grna,day 21,ZNF385A,0.52796,1.2436
total,day 21,POU5F1,0.90986,1.8844
total,day 13,SLA,0.90166,0.65883
grna,day 21,MTHFD1,0.19643,1.1311
total,day 21,SYF2,1.8662,1.4104
grna,day 13,ZC3H15,0.89464,0.82719
grna,day 21,DNAJC1,1.9981,1.3978
total,day 21,DSP,1.5496,2.1479
total,day 13,PRDX3,1.4557,1.1123
grna,day 13,SDS,2.6442,0.41373
total,day 13,MAEL,0.18118,1.4518
grna,day 21,EIF2AK4,1.7276,0.93083
total,day 21,BZW2,2.4103,1.778
total,day 5,FYTTD1,0.47532,0.0064688
grna,day 21,FASTKD3,1.9767,1.7262
total,day 21,TAGLN2,1.2291,1.6851
total,day 5,CCR4,0.21853,0.19644
grna,day 13,TASOR,0.89174,1.0566
total,day 13,DHX58,1.2682,0.88777
grna,day 5,RPA1,0.37522,0.087556
total,day 5,RNASE11,0.11584,0.26072
grna,day 13,USB1,0.61473,0.63287
total,day 13,PDS5A,1.3186,1.2545
grna,day 21,RIMS1,1.1374,0.71878
total,day 21,OASL,1.333,1.9548
grna,day 13,WBP4,0.23912,0.83163
total,day 5,ERN2,0.073866,0.5612
grna,day 21,RBM24,0.99772,0.12024
total,day 21,PABPC1L2A,1.3669,2.3646
total,day 5,FKBP3,0.26969,0.48594
grna,day 13,MAPT,0.074054,0.23531
total,day 13,FBRSL1,1.61,1.6224
total,day 21,ADD1,2.7274,1.8991
grna,day 5,RBM27,1.2098,0.71715
grna,day 13,PDIA4,1.6745,0.36701
total,day 13,LIN28B,1.4031,1.3507
grna,day 13,A1CF,0.92208,0.20091
grna,day 21,PRRC2B,1.3717,0.85846
total,day 21,NDUFS6,0.90118,0.83434
grna,day 5,MRPS21,0.18302,0.058534
total,day 5,TTF2,0.053007,-0.094597
grna,day 13,SWT1,0.9029,0.4758
total,day 13,RNASE6,0.81793,1.3652
total,day 21,RNASET2,0.34782,3.6009
grna,day 13,TRMT10A,0.93855,0.28903
total,day 21,IGF2BP3,1.7456,2.5931
total,day 21,THOC6,0.8727,0.41465
grna,day 5,MANF,0.2176,0.089832
total,day 5,RP9,0.13316,-0.25395
grna,day 13,NUDT3,2.3433,0.31568
total,day 13,TRMT12,1.4199,1.6607
total,day 21,REPIN1,1.5367,1.0489
total,day 5,UNK,0.080769,-0.05756
grna,day 13,CDV3,0.45051,0.30706
total,day 13,QTRT1,0.85666,1.3036
total,day 21,CMTR2,1.6426,0.93217
grna,day 13,NR0B1,0.42602,0.36147
total,day 21,SLC16A3,2.5357,1.034
total,day 5,RIOK3,0.032258,0.096749
grna,day 13,OTUD4,0.56021,2.0745
total,day 13,CNN3,1.9261,0.83592
grna,day 13,SPATS2,1.1859,0.3301
total,day 13,ANXA7,1.6296,0.17056
grna,day 21,ACAA2,0.77897,1.2442
total,day 21,SMAD9,2.3946,1.3115
total,day 5,TFIP11,0.057348,0.30522
grna,day 13,HELZ2,0.87191,0.79105
total,day 13,RNASEL,2.039,1.4054
grna,day 21,H1-4,1.5499,1.1085
total,day 21,TMA7,1.7329,0.63096
grna,day 5,DUS1L,0.83959,0.064113
total,day 5,DNAAF6,-0.1348,0.3034
total,day 21,SUMO1,1.1575,1.9424
grna,day 5,DDX43,0.36759,0.18286
total,day 13,NPM2,1.666,1.713
grna,day 5,P4HB,-0.11009,1.3017
grna,day 21,GP2,2.95,1.4683
total,day 5,POLDIP3,0.52801,0.31957
total,day 13,RDX,0.95069,1.8438
grna,day 13,CALR3,0.17244,0.10338
grna,day 5,UBAP2L,0.51388,-0.11608
grna,day 13,PPIB,0.21391,2.1964
total,day 21,CXORF23,1.1837,1.8895
grna,day 5,SLIRP,0.48679,0.44727
grna,day 21,ZNF474,1.3578,1.9453
grna,day 5,NUP42,0.70792,0.58596
total,day 13,TSN,0.73222,1.0022
total,day 21,NPM2,1.9931,2.6222
total,day 13,CDK5RAP1,1.1486,1.5312
grna,day 21,SUCO,-0.0081094,1.5353
grna,day 5,MAZ,0.70376,0.37194
grna,day 13,STIP1,0.63651,0.30157
total,day 13,PIM1,1.2747,1.2149
total,day 21,PURA,2.0533,2.0612
total,day 21,DIAPH1,2.9687,1.2948
total,day 13,NDRG4,1.3252,1.9418
grna,day 5,ZC3H6,0.51154,0.66735
grna,day 13,ANG,0.72314,0.58851
total,day 13,AFF2,0.90849,1.7152
total,day 21,ESRP1,1.3903,1.3697
total,day 13,RPL26L1,0.16333,1.336
grna,day 21,PIWIL2,1.9189,1.6739
total,day 21,SEC63,1.7675,1.4808
grna,day 13,ATXN1,0.42868,0.13305
grna,day 21,NOCT,1.083,1.0562
total,day 21,FASN,1.2302,2.1315
grna,day 5,SUZ12,0.7444,-0.066648
grna,day 21,FAM133B,1.6687,0.033871
grna,day 5,ELAVL4,0.19674,0.4517
total,day 5,ACIN1,-0.15264,0.27264
grna,day 5,RNASE7,0.062358,0.76814
total,day 5,ACAT1,-0.17675,0.099537
grna,day 13,PURA,2.7538,0.93118
total,day 13,RBM11,0.55634,0.26994
grna,day 21,PFN1,1.5839,-0.016125
total,day 21,METTL8,1.6079,1.5298
grna,day 5,TNPO2,-0.070338,-0.011692
grna,day 21,UPF3A,0.40501,2.0763
total,day 21,MAT1A,2.6479,1.5595
total,day 5,NPM3,0.39308,0.27963
grna,day 13,ZNF768,0.5702,0.85232
total,day 13,HNRNPA2B1,1.2415,0.6343
grna,day 21,SPTBN1,1.0935,1.0758
grna,day 5,GCN1,0.31162,0.0064906
grna,day 13,PTGES3L-AARSD1,1.4689,0.79367
total,day 13,RBMY1F,1.7872,0.77791
total,day 21,CDC42EP4,2.2321,2.5257
total,day 5,CNP,0.015352,-0.026233
grna,day 13,C17ORF85,2.3938,1.5945
total,day 5,TRMT1L,0.3209,-0.0076241
total,day 13,ATXN1,0.33736,1.475
grna,day 21,DUS2,0.71529,1.6834
total,day 21,RPL39L,1.3511,2.0054
grna,day 5,API5,0.95222,-0.2121
total,day 5,MRPS27,0.46131,0.32966
total,day 13,POLDIP3,1.2888,1.5555
total,day 13,SCAF1,1.1472,1.473
grna,day 21,ATXN2,0.14458,0.6586
grna,day 13,ZC3H14,1.0322,0.68687
total,day 13,ZC3H11A,1.3446,1.8435
total,day 21,ZNF474,1.0286,3.5669
grna,day 5,EIF2A,0.10254,0.36954
total,day 5,SECISBP2,0.35423,0.033188
total,day 13,ZNF106,0.59513,1.0503
total,day 5,HNRNPF,0.091007,0.60379
grna,day 13,HNRNPR,0.57738,1.4993
total,day 13,STK10,0.71822,0.21114
grna,day 21,TDRD6,1.6039,0.4642
total,day 21,TNKS1BP1,2.1147,1.464
grna,day 5,SRPK1,0.82741,0.3218
total,day 5,HMGN5,0.21622,0.18145
total,day 13,ZNF239,1.1087,1.2545
total,day 21,RBM33,2.0732,0.99406
grna,day 5,UCHL5,0.88025,1.2942
grna,day 21,TBRG4,0.20528,0.65673
total,day 21,TRAP1,0.26884,1.7321
grna,day 5,TRIP6,0.80237,0.74719
grna,day 21,NCOA5,2.4879,0.36806
total,day 21,NSUN2,1.6551,0.54536
grna,day 21,SERPINH1,0.16425,2.5929
total,day 5,SUCO,0.097013,0.76164
grna,day 13,ZNF638,0.67005,-0.044089
total,day 13,APOBEC3D,1.7825,1.8577
total,day 21,EPS8L3,1.4767,0.87574
total,day 5,JAKMIP1,0.49475,0.23996
grna,day 13,APOBEC3C,0.86484,1.9286
grna,day 21,RBM3,0.5386,0.33203
total,day 21,SECISBP2L,1.1723,1.8174
grna,day 5,UHMK1,0.43194,0.059494
total,day 5,ELAC2,-0.15825,-0.02002
grna,day 13,EXO1,1.4868,1.686
grna,day 21,ACAT1,0.67885,2.0904
total,day 21,MAEL,0.50142,2.2566
grna,day 5,ABT1,-0.072058,0.10302
total,day 13,CAT,1.4478,1.0637
grna,day 13,FAM120A,1.9136,1.5575
total,day 21,MTRF1,1.1341,1.3329
grna,day 13,FUBP3,0.81228,0.82947
total,day 13,DUSP11,1.3531,0.32504
grna,day 21,DYNC1LI1,0.95136,0.40501
total,day 21,LYAR,2.3653,2.4812
total,day 5,MRPL43,0.11465,-0.15582
total,day 13,XPO7,0.56509,1.6701
grna,day 5,HYGRO,0.93748,-0.015638
total,day 5,C9ORF129,-0.098149,0.022575
grna,day 21,ELAVL3,0.84228,1.954
total,day 5,STRBP,0.17844,0.24514
grna,day 13,NAA38,1.3257,0.9749
total,day 21,RBFOX2,2.2547,2.2856
total,day 5,BARD1,-0.135,0.49929
grna,day 13,SMAD3,0.9289,0.38124
total,day 13,TAF9,0.331,1.084
grna,day 5,MYO18A,0.40533,0.1497
total,day 13,CHGA,1.9775,1.0894
grna,day 21,APOBEC3A,0.62976,0.62928
total,day 21,TMEM263,1.3998,1.5807
total,day 5,METAP2,0.39862,0.059666
grna,day 13,SEC23IP,0.089501,0.61904
total,day 13,LRP1,0.60016,0.30641
grna,day 21,NDRG1,0.67388,2.2157
total,day 21,CNOT8,2.6194,1.6216
grna,day 5,UBAP2,0.99486,0.018894
total,day 5,DHCR7,0.5708,0.033723
grna,day 13,TDRD12,0.71007,1.6115
total,day 13,NANOS2,1.9615,1.2219
grna,day 5,ANXA7,0.27638,0.14461
total,day 21,PUS3,0.71525,2.3146
total,day 5,IPO5,0.013066,0.16254
total,day 13,SYF2,1.0638,0.81727
grna,day 21,CTNNA1,1.1805,1.4322
total,day 5,MRPS9,0.7115,0.17147
grna,day 13,INTS12,1.6499,0.76957
total,day 13,APOB,1.9113,1.2167
total,day 21,XPO7,0.26683,2.4411
total,day 13,TDRD9,0.98941,1.7389
grna,day 21,NR0B1,0.99854,1.0908
grna,day 13,ESRP1,0.73537,0.20478
total,day 13,SEC62,0.49646,0.81037
total,day 21,DNAJC1,2.2168,1.6532
total,day 13,MIF4GD,0.11663,1.7533
grna,day 13,NANOS3,0.33988,0.89865
