treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,LARP7,0.11704,1,0.028269,day5,-0.16088,0.525848
heavy,mono,rep1,SNRNP40,0.15031,0.082089,0.028781,day13,-1.5109,0.263342
heavy,mono,rep1,SNRNP40,0.15031,0.082089,0.028781,day5,0.26229,NA
heavy,mono,rep1,TDRD6,0.21792,0.082278,0.029098,day13,0.33436,NA
heavy,mono,rep1,TDRD6,0.21792,0.082278,0.029098,day5,-0.12359,NA
heavy,mono,rep1,ADAT1,0.080742,0.083777,0.030367,day13,0.94978,NA
heavy,mono,rep1,ADAT1,0.080742,0.083777,0.030367,day5,0.48003,NA
heavy,mono,rep1,SCAF8,0.11029,0.083777,0.030616,day13,0.88891,NA
heavy,mono,rep1,SCAF8,0.11029,0.083777,0.030616,day5,0.29805,NA
heavy,mono,rep1,PDAP1,0.31646,0.083777,0.030905,day13,-0.59949,0.527108
heavy,mono,rep1,PDAP1,0.31646,0.083777,0.030905,day5,-1.386,0.250125
heavy,mono,rep1,NCBP2,0.30947,0.076475,0.025366,day13,-2.7776,0.12573
heavy,mono,rep1,NCBP2,0.30947,0.076475,0.025366,day5,-0.69664,0.266614
heavy,mono,rep1,ILF3,0.26873,0.083777,0.03125,day13,-0.029704,NA
heavy,mono,rep1,ILF3,0.26873,0.083777,0.03125,day5,0.38507,NA
heavy,mono,rep1,RNASE11,0.1766,0.083777,0.031444,day13,0.79725,NA
heavy,mono,rep1,RNASE11,0.1766,0.083777,0.031444,day5,0.17991,NA
heavy,mono,rep1,RBMXL1,0.24163,0.083777,0.031734,day13,-0.63018,NA
heavy,mono,rep1,RBMXL1,0.24163,0.083777,0.031734,day5,-0.70784,0.333004
heavy,mono,rep1,ZFR2,0.18145,0.083777,0.03182,day13,0.79774,NA
heavy,mono,rep1,ZFR2,0.18145,0.083777,0.03182,day5,-0.49385,0.404235
heavy,mono,rep1,THOC3,0.13561,0.083777,0.032106,day13,-1.7977,0.200623
heavy,mono,rep1,THOC3,0.13561,0.083777,0.032106,day5,0.25141,NA
heavy,mono,rep1,DCP1B,0.10011,0.083777,0.032183,day13,1.2109,NA
heavy,mono,rep1,DCP1B,0.10011,0.083777,0.032183,day5,0.49737,NA
heavy,mono,rep1,NXF3,0.15134,0.083843,0.032464,day13,0.10926,NA
heavy,mono,rep1,NXF3,0.15134,0.083843,0.032464,day5,0.10151,NA
heavy,mono,rep1,ZRANB2,0.11003,0.084017,0.033043,day13,0.20697,NA
heavy,mono,rep1,ZRANB2,0.11003,0.084017,0.033043,day5,-0.029076,NA
heavy,mono,rep1,ST13,0.11856,1,0.033066,day13,0.58503,NA
heavy,mono,rep1,ST13,0.11856,1,0.033066,day5,-0.10699,NA
heavy,mono,rep1,PAFAH1B3,0.12571,0.085565,0.033913,day13,0.97867,NA
heavy,mono,rep1,PAFAH1B3,0.12571,0.085565,0.033913,day5,0.089004,NA
heavy,mono,rep1,TDRD10,0.14214,0.087089,0.034783,day13,0.63841,NA
heavy,mono,rep1,TDRD10,0.14214,0.087089,0.034783,day5,0.016598,NA
heavy,mono,rep1,SNRNP35,0.18489,0.08724,0.035109,day13,-0.51352,0.302966
heavy,mono,rep1,SNRNP35,0.18489,0.08724,0.035109,day5,0.25102,NA
heavy,mono,rep1,SNRPF,0.31143,0.082514,0.029433,day13,-3.1697,0.102832
heavy,mono,rep1,SNRPF,0.31143,0.082514,0.029433,day5,-0.6961,0.493021
heavy,mono,rep1,EEF1A1,0.31051,0.087935,0.035657,day13,-4.0566,0.051492
heavy,mono,rep1,EEF1A1,0.31051,0.087935,0.035657,day5,-1.1317,0.200088
heavy,mono,rep1,TFB1M,0.17488,0.08794,0.035938,day13,-0.35464,NA
heavy,mono,rep1,TFB1M,0.17488,0.08794,0.035938,day5,-0.15376,0.493021
heavy,mono,rep1,CCNT2,0.17162,0.08794,0.036418,day13,1.1775,NA
heavy,mono,rep1,CCNT2,0.17162,0.08794,0.036418,day5,0.17923,NA
heavy,mono,rep1,MRPL34,0.21353,0.08794,0.036463,day13,-1.227,0.253181
heavy,mono,rep1,MRPL34,0.21353,0.08794,0.036463,day5,-0.3201,NA
heavy,mono,rep1,SEPTIN11,0.16936,0.088409,0.037034,day13,0.25247000000000003,NA
heavy,mono,rep1,SEPTIN11,0.16936,0.088409,0.037034,day5,0.046166,NA
heavy,mono,rep1,VARS2,0.16613,0.088409,0.037197,day13,-0.86153,0.242252
