sgrna,sample_name,rep1,rep2
GTF2F1_1_2,heavy,-0.90403,-1.1803
RPL13_2_3,heavy,-2.8093,-2.3574
RAN_4_1,heavy,-1.3842,-1.4963
RPL7L1_1_2,heavy,-3.234,-2.486
PSMC2_1_2,heavy,-0.87123,-0.8419
CCT3_4_1,heavy,-1.3622,-1.2385
UBA52_1_2,heavy,-3.6681,-4.1607
ZNF622_3_4,heavy,-0.65827,-0.63632
EIF4E_1_2,heavy,-0.91877,-0.67434
RPL17_4_1,heavy,-3.7458,-3.7369
RPL10_4_1,heavy,-2.5474,-3.2048
NOC2L_4_1,heavy,-2.0868,-1.8483
RPL7_2_3,heavy,-1.4826,-1.6382
DDX47_2_3,heavy,-1.6543,-1.4396
PSMD6_1_2,heavy,-1.449,-0.89219
RPL23A_4_1,heavy,-3.8585,-4.0443
RRP12_1_2,heavy,-1.1503,-1.5058
GNL3_4_1,heavy,-1.3145,-1.0795
RPS15_3_4,heavy,-2.2462,-1.8245
RPS21_3_4,heavy,-1.3671,-1.5122
MPHOSPH6_1_2,heavy,-0.84644,-0.80871
RPLP2_1_2,heavy,-1.077,-0.96027
CCT4_1_2,heavy,-1.1849,-1.2445
MPHOSPH6_3_4,heavy,-0.57773,-0.5989
NOP56_3_4,heavy,-1.8128,-1.969
HSPD1_2_3,heavy,-1.2035,-0.72774
EIF5A_4_1,heavy,0.69233,0.74101
UTP6_1_2,heavy,-0.79123,-0.79791
RPS9_3_4,heavy,-2.1274,-2.2511
RPL14_4_1,heavy,-2.8174,-3.2636
UTP20_4_1,heavy,-1.3884,-0.98624
PSMD11_3_4,heavy,-0.65911,-0.60785
SON_3_4,heavy,-1.1232,-1.0827
CCT4_2_3,heavy,-2.0408,-1.6618
PELP1_4_1,heavy,-1.2416,-1.2606
RPS20_3_4,heavy,-2.5187,-2.5718
RARS1_2_3,heavy,-0.59845,-0.64541
UTP15_4_1,heavy,-0.76491,-0.80066
RPS3_2_3,heavy,-2.1229,-1.8987
RPL24_3_4,heavy,-1.876,-2.0771
NOP56_2_3,heavy,-1.58,-1.7626
BUD23_4_1,heavy,-0.9115,-0.72278
PDS5A_2_3,heavy,-0.45551,-0.36579
MTFMT_4_1,heavy,-0.79998,-0.86134
RPL11_2_3,heavy,-3.8484,-4.6607
PHB1_1_2,heavy,-0.86394,-0.7847
RPS17_1_2,heavy,-1.5575,-1.8226
ETF1_2_3,heavy,-1.3662,-1.3334
BRF1_1_2,heavy,-0.7584,-0.87066
ISCU_2_3,heavy,-0.71571,-0.63973
POLR1E_2_3,heavy,-0.46801,-0.55901
RCL1_2_3,heavy,-0.58654,-0.51314
UTP4_2_3,heavy,-0.93473,-0.72291
ATP5F1A_3_4,heavy,-0.8835,-0.69736
IARS2_2_3,heavy,-0.85185,-0.45896
RPS3_1_2,heavy,-3.7932,-2.4985
EIF3D_3_4,heavy,-1.0463,-1.0623
RPS5_1_2,heavy,-2.1042,-2.2983
DDX51_1_2,heavy,-1.0582,-1.0241
WDR46_1_2,heavy,-0.99606,-0.93758
DYNC1H1_3_4,heavy,-0.70206,-0.72396
MYBBP1A_3_4,heavy,-1.1011,-1.4166
EBNA1BP2_1_2,heavy,-0.67834,-0.64536
RPS8_4_1,heavy,-1.185,-1.1935
DDX55_2_3,heavy,-0.68534,-0.7204
DAZ1_1_2,heavy,-1.7016,-1.6961
RPLP1_3_4,heavy,-1.3538,-1.499
SLU7_4_1,heavy,1.6938,-0.10273
RPL18A_4_1,heavy,-3.2316,-3.4774
EIF5B_4_1,heavy,-0.54169,-0.56208
COPS2_3_4,heavy,-0.53019,-0.36701
NSA2_1_2,heavy,-3.2998,-2.5733
RPS20_1_2,heavy,-2.7272,-1.7016
EIF3I_4_1,heavy,-1.1009,-1.0149
RPS4X_3_4,heavy,-1.8134,-1.8973
CCT2_4_1,heavy,-1.0335,-0.92742
SF3A1_3_4,heavy,1.7502,0.43309
RPS8_1_2,heavy,-0.98502,-1.146
NXF1_1_2,heavy,-0.90652,-0.76212
CCT3_1_2,heavy,-1.3747,-1.249
CNOT1_4_1,heavy,-0.59041,-0.76598
CCT3_2_3,heavy,-0.84264,-0.90486
RPSA_1_2,heavy,-1.4233,-1.3844
RPL7L1_2_3,heavy,-0.95503,-0.81166
TSR1_4_1,heavy,-0.59357,-0.35289
RPS11_3_4,heavy,-2.0402,-2.2067
WDR43_2_3,heavy,-0.86791,-0.8191
BOP1_3_4,heavy,-2.088,-1.7289
TSR1_2_3,heavy,-0.80509,-0.9528
ASCC3_4_1,heavy,0.46036,0.69028
FBL_2_3,heavy,-1.3133,-1.199
MYBBP1A_1_2,heavy,-0.83806,-1.026
IMP3_1_2,heavy,-1.0611,-0.92248
DDX55_4_1,heavy,-0.60103,-0.70452
EIF3E_1_2,heavy,-0.52431,-0.69901
ABCE1_3_4,heavy,-0.96477,-0.64533
