gene,day,lfc,essential,n
ATP1A1,13,-0.83169,non-essential,1401
ATP1A1,5,-0.081636,non-essential,1401
ATP2A2,13,-4.0635,essential,785
ATP2A2,21,-4.5358,essential,785
ATP2A2,5,-0.10183,essential,785
ATP5F1A,13,-4.8908,essential,785
ATP5F1A,21,-4.5253,essential,785
ATP5F1A,5,-0.12315,essential,785
ATP5F1B,21,-5.7299,essential,785
ATP5F1B,13,-5.0236,essential,785
ATP5F1B,5,0.090826,essential,785
ATP5F1C,5,-1.0822,non-essential,1401
ATP5F1C,13,-4.1525,non-essential,1401
ATP5F1C,21,-3.1698,non-essential,1401
ATXN1,5,0.054597,non-essential,1401
ATXN1,13,0.68689,non-essential,1401
ATXN1,21,1.117,non-essential,1401
ATXN1L,5,0.10783,non-essential,1401
ATXN1L,21,1.7146,non-essential,1401
ATXN1L,13,1.0112,non-essential,1401
ATXN2,21,0.60717,non-essential,1401
ATXN2,13,0.58379,non-essential,1401
ATXN2,5,-0.09114,non-essential,1401
ATXN2L,21,0.11345,non-essential,1401
ATXN2L,13,0.10748,non-essential,1401
ATXN2L,5,-0.031264,non-essential,1401
AUH,5,-0.19618,non-essential,1401
AUH,13,0.3963,non-essential,1401
AUH,21,0.32569,non-essential,1401
AZGP1,5,0.14803,non-essential,1401
AZGP1,13,1.213,non-essential,1401
AZGP1,21,2.1303,non-essential,1401
BAG4,5,-0.45002,non-essential,1401
BAG4,13,-0.72298,non-essential,1401
BAG4,21,0.12436,non-essential,1401
BARD1,21,-1.5697,non-essential,1401
BARD1,13,0.082075,non-essential,1401
BARD1,5,0.24636,non-essential,1401
BASP1,13,0.16549,non-essential,1401
BASP1,21,0.45987,non-essential,1401
BASP1,5,0.34202,non-essential,1401
BAZ1B,21,1.4039,non-essential,1401
BAZ1B,13,0.87722,non-essential,1401
BAZ1B,5,0.3324,non-essential,1401
BAZ2A,13,-0.45026,non-essential,1401
BAZ2A,21,0.47813,non-essential,1401
BAZ2A,5,0.030442,non-essential,1401
BAZ2B,5,-0.25337,non-essential,1401
BAZ2B,13,-0.12601,non-essential,1401
BAZ2B,21,0.76577,non-essential,1401
BCCIP,5,-0.099269,essential,785
BCCIP,13,-1.9982,essential,785
BCCIP,21,-2.055,essential,785
BCDIN3D,5,-0.062565,non-essential,1401
BCDIN3D,13,0.94066,non-essential,1401
BCDIN3D,21,1.7127,non-essential,1401
BCLAF1,5,-0.25465,essential,785
BCLAF1,13,0.55728,essential,785
BCLAF1,21,0.87643,essential,785
BICC1,5,-0.24588,non-essential,1401
BICC1,21,-0.18672,non-essential,1401
BICC1,13,-0.14786,non-essential,1401
BLTP2,5,-0.27881,non-essential,1401
BLTP2,21,-0.38674,non-essential,1401
BLTP2,13,-0.41513,non-essential,1401
BMS1,21,-4.7842,essential,785
BMS1,13,-3.1941,essential,785
BMS1,5,-0.19532,essential,785
BOLL,5,0.17903,non-essential,1401
BOLL,13,0.93242,non-essential,1401
BOLL,21,1.7216,non-essential,1401
BOP1,21,-3.0731,essential,785
BOP1,13,-2.9378,essential,785
BOP1,5,-0.087244,essential,785
BRCA1,21,0.51027,non-essential,1401
BRCA1,13,0.70456,non-essential,1401
BRCA1,5,0.21599,non-essential,1401
BRD2,13,1.0178,non-essential,1401
BRD2,21,1.7987,non-essential,1401
BRD2,5,0.46653,non-essential,1401
BRF1,21,-6.0255,essential,785
BRF1,5,-0.36695,essential,785
BRF1,13,-5.0598,essential,785
BRF2,13,-1.9319,essential,785
BRF2,21,-1.6274,essential,785
BRF2,5,-0.16645,essential,785
BRIX1,21,-3.3667,essential,785
BRIX1,13,-3.0891,essential,785
BRIX1,5,0.0087693,essential,785
BST2,5,0.064239,non-essential,1401
BST2,13,0.68096,non-essential,1401
BST2,21,1.2387,non-essential,1401
BTF3,5,-0.55985,essential,785
BTF3,21,-4.2452,essential,785
BTF3,13,-2.8936,essential,785
BUD13,21,0.10747,essential,785
BUD13,13,-0.26183,essential,785
BUD13,5,-0.077733,essential,785
BUD23,13,-4.487,essential,785
BUD23,21,-5.6519,essential,785
BUD23,5,-0.2937,essential,785
BYSL,5,-0.28755,essential,785
BYSL,21,-4.3995,essential,785
BYSL,13,-3.2709,essential,785
BZW1,13,1.4204,non-essential,1401
BZW1,21,2.1074,non-essential,1401
BZW1,5,0.50429,non-essential,1401
BZW2,13,0.88055,non-essential,1401
BZW2,21,1.6807,non-essential,1401
BZW2,5,0.2231,non-essential,1401
C11ORF31,5,0.2155,non-essential,1401
C11ORF31,21,2.2305,non-essential,1401
C11ORF31,13,1.3728,non-essential,1401
C11ORF68,5,0.11817,non-essential,1401
C11ORF68,13,0.79904,non-essential,1401
C11ORF68,21,1.468,non-essential,1401
C12ORF43,13,1.1929,non-essential,1401
C12ORF43,5,0.2687,non-essential,1401
C12ORF43,21,1.6852,non-essential,1401
C12ORF65,21,-0.27866,non-essential,1401
C12ORF65,13,0.51637,non-essential,1401
C12ORF65,5,0.098443,non-essential,1401
C14ORF142,5,0.32824,non-essential,1401
C14ORF142,13,1.3567,non-essential,1401
C14ORF142,21,1.9805,non-essential,1401
C14ORF166,21,1.9496,non-essential,1401
C14ORF166,13,1.0228,non-essential,1401
C14ORF166,5,0.51312,non-essential,1401
C14ORF93,5,-0.17815,non-essential,1401
C14ORF93,21,-0.31036,non-essential,1401
C14ORF93,13,0.24342,non-essential,1401
C15ORF52,5,-0.62435,non-essential,1401
C15ORF52,13,-0.79801,non-essential,1401
C15ORF52,21,-1.5407,non-essential,1401
C17ORF85,5,0.64374,non-essential,1401
C17ORF85,21,2.7133,non-essential,1401
C17ORF85,13,1.8131,non-essential,1401
C19ORF47,5,-0.055132,non-essential,1401
C19ORF47,21,0.94357,non-essential,1401
C19ORF47,13,0.91819,non-essential,1401
C19ORF66,5,-0.21944,non-essential,1401
C19ORF66,13,0.36578,non-essential,1401
C19ORF66,21,0.66742,non-essential,1401
C1D,21,-2.0379,non-essential,1401
C1D,5,0.11812,non-essential,1401
C1D,13,-0.65313,non-essential,1401
C1ORF131,5,-0.40748,non-essential,1401
C1ORF131,13,-1.0283,non-essential,1401
C1ORF131,21,-1.4063,non-essential,1401
C1ORF204,5,0.10973,non-essential,1401
C1ORF204,13,0.77391,non-essential,1401
C1ORF204,21,1.3032,non-essential,1401
C1ORF52,21,0.72917,non-essential,1401
C1ORF52,13,0.098815,non-essential,1401
C1ORF52,5,-0.048469,non-essential,1401
C1QBP,21,-1.2611,non-essential,1401
C1QBP,5,-0.010987,non-essential,1401
C1QBP,13,0.25668,non-essential,1401
C2ORF15,13,1.2297,non-essential,1401
C2ORF15,5,0.33217,non-essential,1401
C2ORF15,21,1.913,non-essential,1401
C4BPA,5,0.46879,non-essential,1401
C4BPA,13,1.7541,non-essential,1401
C4BPA,21,2.9835,non-essential,1401
C7ORF50,21,2.3504,non-essential,1401
C7ORF50,13,1.6837,non-essential,1401
C7ORF50,5,0.33216,non-essential,1401
C9ORF114,21,-3.3395,non-essential,1401
C9ORF114,13,-2.4395,non-essential,1401
C9ORF114,5,-0.08397,non-essential,1401
C9ORF129,5,0.099681,non-essential,1401
C9ORF129,13,0.6366,non-essential,1401
C9ORF129,21,1.1396,non-essential,1401
C9ORF156,5,0.15045,non-essential,1401
C9ORF156,13,1.0622,non-essential,1401
C9ORF156,21,1.772,non-essential,1401
CACTIN,5,-0.40661,essential,785
CACTIN,13,-2.5454,essential,785
CACTIN,21,-2.8636,essential,785
CACYBP,5,0.32236,non-essential,1401
CACYBP,13,1.0673,non-essential,1401
CACYBP,21,1.7955,non-essential,1401
CADM1,5,-0.28468,non-essential,1401
CADM1,21,0.86527,non-essential,1401
CADM1,13,0.59304,non-essential,1401
CALD1,5,-0.09539,non-essential,1401
CALD1,13,0.60132,non-essential,1401
CALD1,21,0.88705,non-essential,1401
CALR,13,0.99938,non-essential,1401
CALR,21,1.617,non-essential,1401
CALR,5,0.068133,non-essential,1401
CALR3,5,-0.18021,non-essential,1401
CALR3,13,0.22116,non-essential,1401
CALR3,21,0.78284,non-essential,1401
CAND1,21,-0.048519,non-essential,1401
CAND1,13,0.25225,non-essential,1401
CAND1,5,0.086718,non-essential,1401
CANX,5,-0.21977,non-essential,1401
CANX,21,0.55211,non-essential,1401
CANX,13,0.15159,non-essential,1401
CAPRIN1,21,0.27854,non-essential,1401
CAPRIN1,13,0.68759,non-essential,1401
CAPRIN1,5,0.11303,non-essential,1401
CAPRIN2,5,0.26894,non-essential,1401
CAPRIN2,21,2.1486,non-essential,1401
CAPRIN2,13,1.2918,non-essential,1401
CARHSP1,5,0.043539,non-essential,1401
CARHSP1,21,1.8902,non-essential,1401
CARHSP1,13,1.141,non-essential,1401
CARS1,21,-4.7241,essential,785
CARS1,13,-4.4339,essential,785
CARS1,5,-0.38467,essential,785
CASC3,21,0.61354,non-essential,1401
CASC3,13,0.63796,non-essential,1401
CASC3,5,0.27214,non-essential,1401
CAST,5,0.35521,non-essential,1401
CAST,21,1.2598,non-essential,1401
CAST,13,1.1364,non-essential,1401
CAT,13,1.2841,non-essential,1401
CAT,5,0.063473,non-essential,1401
CAT,21,1.9965,non-essential,1401
CAVIN1,5,0.068808,non-essential,1401
CAVIN1,13,0.5516,non-essential,1401
CAVIN1,21,0.8888,non-essential,1401
CC2D1B,21,1.322,non-essential,1401
CC2D1B,13,0.70047,non-essential,1401
CC2D1B,5,0.12418,non-essential,1401
CCAR1,5,0.31168,essential,785
CCAR1,21,-0.38403,essential,785
CCAR1,13,0.45736,essential,785
CCAR2,21,1.8553,non-essential,1401
CCAR2,13,1.1142,non-essential,1401
CCAR2,5,0.1682,non-essential,1401
CCDC124,5,0.12553,non-essential,1401
CCDC124,13,0.73168,non-essential,1401
CCDC124,21,1.1487,non-essential,1401
