sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ABT1,4,0.0031413,0.011348,0.020268,240,4,0.99686,0.99698,NA,1961,0,-0.77862,0.011348,0.020268,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DDX18,4,0.0030919,0.011153,0.020085,238,4,0.99691,0.99702,NA,1962,0,-0.66503,0.011153,0.020085,4,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,WDR3,4,0.0023779,0.0086486,0.016682,225,4,0.99762,0.99772,NA,1969,0,-0.43548,0.0086486,0.016682,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPSA,4,0.0022446,0.008232,0.016166,221,4,0.99776,0.99786,NA,1972,0,-1.3469,0.008232,0.016166,4,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DHX37,3,0.0022024,0.0065425,0.013207,220,3,0.9978,0.99792,NA,1973,0,-0.88924,0.0065425,0.013207,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS7,4,0.0018199,0.0067056,0.013411,216,4,0.99818,0.99825,NA,1977,0,-0.95225,0.0067056,0.013411,4,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL39,4,0.0017912,0.006615,0.013291,215,4,0.99821,0.99827,NA,1978,0,-0.54319,0.006615,0.013291,4,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPL8,4,1.7925e-6,6.7939e-6,8.2e-5,34,4,0.99823,0.99828,NA,1979,0,-3.9892,6.7939e-6,8.2e-5,4,4 60S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS10,3,0.001448,0.0044183,0.009783,207,3,0.99855,0.99866,NA,1985,0,-1.4646,0.0044183,0.009783,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RIOK2,4,0.0013966,0.0052879,0.011195,204,4,0.9986,0.99873,NA,1988,0,-0.52709,0.0052879,0.011195,4,1 40S biogenesis,sig
