sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,day,isoform,sig
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,SF3B7,4,0.17728,0.33832,NA,727,2,0.52988,0.66196,1,1451,1,-0.51801,1,i1_retained,1
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,SF3B2,4,0.23405,0.43022,0.511305,920,3,0.56438,0.67578,1,1475,1,-0.50495,1,e2_skipped,1
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,SF3B6,4,0.061341,0.14682,NA,333,2,0.58876,0.69246,1,1475,1,-1.2635,3,i1_retained,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,SF3B7,4,0.35042,0.49676,NA,1096,2,0.64404,0.69714,1,1531,1,-0.12291,1,i2_retained,1
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,SF3B3,3,0.061553,0.1428,NA,322,1,0.69377,0.70356,1,1609,1,-0.24655,1,i1_retained,1
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,SF3B6,4,0.069335,0.1728,NA,377,2,0.78024,0.78936,1,1708,1,-1.1505,3,e2_skipped,1
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,SF3B6,4,0.0026406,0.0095454,0.305,23,3,0.79511,0.79421,1,1734,0,-2.0368,5,e2_skipped,1
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,SF3B1,4,0.89912,0.90607,NA,1980,1,0.80598,0.81108,1,1777,1,0.11198,1,e2_skipped,1
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,SF3B1,4,0.47211,0.62034,NA,1354,2,0.81543,0.81876,1,1793,1,-0.17625,1,i1_retained,1
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,SF3B2,4,0.8448,0.84445,NA,1825,1,0.83664,0.83809,1,1809,1,-0.010503,3,i1_retained,1
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,AQR,4,0.82859,0.83001,NA,1821,1,0.83285,0.83381,1,1824,1,0.13054,1,i1_retained,1
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,SF3B4,4,0.012765,0.041785,NA,102,2,0.90353000000000006,0.9039,1,1928,0,-0.28538,7,e2_skipped,1
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,AQR,4,0.30317,0.52111,0.530438,1117,3,0.8918,0.89211,1,1935,0,-0.24442,5,e2_skipped,1
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,SF3B5,4,0.018879,0.06035,0.215246,131,3,0.8876,0.88751,1,1940,0,-0.85276,1,i1_retained,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,SF3B1,4,0.13886,0.28089,0.28356,620,3,0.92135,0.92142,1,2011,0,-0.16775,3,i2_retained,1
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,SF3B5,4,0.25922,0.40183,NA,882,1,0.95399,0.95422,1,2031,0,-0.2384,7,i2_retained,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,SF3B2,4,0.12353,0.25486,0.28078,575,3,0.97737,0.97773,1,2133,0,-0.19088,1,i2_retained,1
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,AQR,4,0.020611,0.065509,0.335189,139,4,0.97939,0.97967,1,2147,0,-2.1063,3,e2_skipped,1
