sample_name,insert_num,umi_count,type
ntc_day1_bc1_grna,384,469,gDNA
ntc_day1_bc1_grna,385,515,gDNA
ntc_day1_bc1_grna,386,203,gDNA
ntc_day1_bc1_grna,387,1641,gDNA
ntc_day1_bc1_grna,388,513,gDNA
ntc_day1_bc1_grna,389,205,gDNA
ntc_day1_bc1_grna,390,105,gDNA
ntc_day1_bc1_grna,391,663,gDNA
ntc_day1_bc1_grna,392,352,gDNA
ntc_day1_bc1_grna,393,331,gDNA
ntc_day1_bc1_grna,394,342,gDNA
ntc_day1_bc1_grna,395,356,gDNA
ntc_day1_bc1_grna,396,41,gDNA
ntc_day1_bc1_grna,398,306,gDNA
ntc_day1_bc1_grna,399,399,gDNA
ntc_day1_bc1_grna,400,69,gDNA
ntc_day1_bc1_grna,401,451,gDNA
ntc_day1_bc1_grna,402,123,gDNA
ntc_day1_bc1_grna,403,328,gDNA
ntc_day1_bc1_grna,404,821,gDNA
ntc_day1_bc1_grna,405,214,gDNA
ntc_day1_bc1_grna,406,597,gDNA
ntc_day1_bc1_grna,407,367,gDNA
ntc_day1_bc1_grna,408,69,gDNA
ntc_day1_bc1_grna,409,688,gDNA
ntc_day1_bc1_grna,410,17,gDNA
ntc_day1_bc1_grna,411,281,gDNA
ntc_day1_bc1_grna,412,312,gDNA
ntc_day1_bc1_grna,413,295,gDNA
ntc_day1_bc1_grna,414,535,gDNA
ntc_day1_bc1_grna,415,176,gDNA
ntc_day1_bc1_grna,416,504,gDNA
ntc_day1_bc1_grna,417,520,gDNA
ntc_day1_bc1_grna,418,782,gDNA
ntc_day1_bc1_grna,419,705,gDNA
ntc_day1_bc1_grna,420,8,gDNA
ntc_day1_bc1_grna,422,63,gDNA
ntc_day1_bc1_grna,423,127,gDNA
ntc_day1_bc1_grna,424,52,gDNA
ntc_day1_bc1_grna,425,698,gDNA
ntc_day1_bc1_grna,426,698,gDNA
ntc_day1_bc1_grna,427,84,gDNA
ntc_day1_bc1_grna,428,120,gDNA
