Distance (mm),Absorbance,sgRNA,Treatment,nuclease
24.59,0.04793599999999999,GCN1,HHT,+ micrococcal nuclease
24.69,0.048653,GCN1,HHT,+ micrococcal nuclease
24.79,0.049259,GCN1,HHT,+ micrococcal nuclease
24.89,0.050409999999999996,GCN1,HHT,+ micrococcal nuclease
24.99,0.05214099999999999,GCN1,HHT,+ micrococcal nuclease
25.09,0.049855,GCN1,HHT,+ micrococcal nuclease
25.19,0.051851999999999995,GCN1,HHT,+ micrococcal nuclease
25.28,0.052509,GCN1,HHT,+ micrococcal nuclease
25.39,0.054932999999999996,GCN1,HHT,+ micrococcal nuclease
25.49,0.056762999999999994,GCN1,HHT,+ micrococcal nuclease
25.58,0.05974,GCN1,HHT,+ micrococcal nuclease
25.69,0.06222899999999999,GCN1,HHT,+ micrococcal nuclease
25.79,0.066818,GCN1,HHT,+ micrococcal nuclease
25.88,0.07060199999999998,GCN1,HHT,+ micrococcal nuclease
25.99,0.07593799999999999,GCN1,HHT,+ micrococcal nuclease
26.08,0.07870200000000001,GCN1,HHT,+ micrococcal nuclease
26.18,0.084529000000000007,GCN1,HHT,+ micrococcal nuclease
26.28,0.090016,GCN1,HHT,+ micrococcal nuclease
26.38,0.097144,GCN1,HHT,+ micrococcal nuclease
26.48,0.10109,GCN1,HHT,+ micrococcal nuclease
26.58,0.10756700000000001,GCN1,HHT,+ micrococcal nuclease
26.68,0.114574,GCN1,HHT,+ micrococcal nuclease
26.78,0.121817,GCN1,HHT,+ micrococcal nuclease
26.88,0.12684800000000002,GCN1,HHT,+ micrococcal nuclease
26.98,0.13190800000000003,GCN1,HHT,+ micrococcal nuclease
27.08,0.137146,GCN1,HHT,+ micrococcal nuclease
27.18,0.142013,GCN1,HHT,+ micrococcal nuclease
27.28,0.145833,GCN1,HHT,+ micrococcal nuclease
27.38,0.15076699999999998,GCN1,HHT,+ micrococcal nuclease
27.48,0.152993,GCN1,HHT,+ micrococcal nuclease
27.58,0.15766799999999997,GCN1,HHT,+ micrococcal nuclease
27.68,0.15832400000000002,GCN1,HHT,+ micrococcal nuclease
27.78,0.16110799999999997,GCN1,HHT,+ micrococcal nuclease
27.88,0.16209600000000002,GCN1,HHT,+ micrococcal nuclease
27.98,0.161499,GCN1,HHT,+ micrococcal nuclease
28.08,0.16093400000000002,GCN1,HHT,+ micrococcal nuclease
28.18,0.16010200000000002,GCN1,HHT,+ micrococcal nuclease
28.28,0.160329,GCN1,HHT,+ micrococcal nuclease
28.38,0.15842,GCN1,HHT,+ micrococcal nuclease
28.48,0.15672999999999998,GCN1,HHT,+ micrococcal nuclease
28.57,0.154011,GCN1,HHT,+ micrococcal nuclease
28.68,0.15181099999999997,GCN1,HHT,+ micrococcal nuclease
28.77,0.14788400000000002,GCN1,HHT,+ micrococcal nuclease
28.87,0.14613700000000002,GCN1,HHT,+ micrococcal nuclease
28.97,0.137631,GCN1,HHT,+ micrococcal nuclease
29.08,0.137083,GCN1,HHT,+ micrococcal nuclease
29.17,0.13614900000000002,GCN1,HHT,+ micrococcal nuclease
29.27,0.129475,GCN1,HHT,+ micrococcal nuclease
29.37,0.12477899999999999,GCN1,HHT,+ micrococcal nuclease
29.47,0.123176,GCN1,HHT,+ micrococcal nuclease
29.57,0.12178199999999999,GCN1,HHT,+ micrococcal nuclease
29.67,0.118636,GCN1,HHT,+ micrococcal nuclease
29.77,0.11598299999999999,GCN1,HHT,+ micrococcal nuclease
29.87,0.11184699999999999,GCN1,HHT,+ micrococcal nuclease
29.97,0.11112100000000001,GCN1,HHT,+ micrococcal nuclease
30.07,0.11059899999999999,GCN1,HHT,+ micrococcal nuclease
30.17,0.110055,GCN1,HHT,+ micrococcal nuclease
30.27,0.110719,GCN1,HHT,+ micrococcal nuclease
30.37,0.10851000000000001,GCN1,HHT,+ micrococcal nuclease
30.47,0.111477,GCN1,HHT,+ micrococcal nuclease
30.57,0.10665299999999998,GCN1,HHT,+ micrococcal nuclease
30.67,0.10874099999999999,GCN1,HHT,+ micrococcal nuclease
30.77,0.10571299999999999,GCN1,HHT,+ micrococcal nuclease
