sample_name,relative_start,n
sgfluc_hht,87,0.012621106321476889
sgfluc_hht,88,0.015822598670666432
sgfluc_hht,89,0.01889804801398237
sgfluc_hht,90,0.015713361398909307
sgfluc_hht,91,0.017755258094061695
sgfluc_hht,92,0.019973614997437127
sgfluc_hht,93,0.013209307015553708
sgfluc_hht,94,0.016461216567092693
sgfluc_hht,95,0.019881183459796482
sgfluc_hht,96,0.014713420218978715
sgfluc_hht,97,0.01674691404707286
sgfluc_hht,98,0.019074508222205418
sgfluc_hht,99,0.014679808750745755
sgfluc_hht,100,0.01700740292587831
sgfluc_hht,101,0.0167133025788399
