treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness,annotation
heavy,mono,rep1,RPS2,-1.1391,0.011677,0.0056503,day7,-1.0151,0.139835,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR2,-0.33,0.084283,0.063697,day13,-3.9949,0.021847,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR2,-0.33,0.084283,0.063697,day7,-0.55138,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS17,-1.036,0.018579,0.010189,day13,-3.4896,0.08303,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS17,-1.036,0.018579,0.010189,day7,-1.5525,0.036547,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL14,-2.8174,1,0.053217,day13,-6.0933,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL14,-2.8174,1,0.053217,day7,-1.5598,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NGDN,-0.59992,0.017704,0.0094639,day13,-3.612,0.151145,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NGDN,-0.59992,0.017704,0.0094639,day7,-0.94774,0.144893,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3CL,-0.8987,0.158171,0.1374,day13,-4.4384,0.015528,5 EIF3
heavy,mono,rep1,EIF3CL,-0.8987,0.158171,0.1374,day7,-2.9432,0.009879,5 EIF3
heavy,mono,rep1,PSMA3,-0.54664,0.132382,0.1089,day13,-3.3414,0.086624,6 Proteasome
heavy,mono,rep1,PSMA3,-0.54664,0.132382,0.1089,day7,-3.2537,0.015843,6 Proteasome
heavy,mono,rep1,NOL11,-0.42311,0.034023,0.022264,day13,-2.0762,0.189234,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOL11,-0.42311,0.034023,0.022264,day7,-0.84518,0.105888,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NHP2,-0.13585,0.127375,0.10419,day13,-3.9618,0.018493,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NHP2,-0.13585,0.127375,0.10419,day7,-0.22424,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3F,-0.46614,0.096564,0.074092,day13,-4.8689,0.024534,5 EIF3
heavy,mono,rep1,EIF3F,-0.46614,0.096564,0.074092,day7,-1.6402,0.043144,5 EIF3
heavy,mono,rep1,PSMD11,-0.47,0.098194,0.075569,day13,-3.3268,0.112791,6 Proteasome
heavy,mono,rep1,PSMD11,-0.47,0.098194,0.075569,day7,-1.4038,0.058352,6 Proteasome
heavy,mono,rep1,NOM1,-0.25813,0.066497,0.048724,day13,-2.2506,0.173315,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOM1,-0.25813,0.066497,0.048724,day7,-0.27918,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PSMB3,-0.57093,0.066248,0.048388,day13,-3.3813,0.042298,6 Proteasome
heavy,mono,rep1,PSMB3,-0.57093,0.066248,0.048388,day7,-3.3067,0.005501,6 Proteasome
heavy,mono,rep1,PSMA6,-0.64303,0.195442,0.18238,day13,-5.3082,0.028488,6 Proteasome
heavy,mono,rep1,PSMA6,-0.64303,0.195442,0.18238,day7,-6.0096,3.49e-4,6 Proteasome
heavy,mono,rep1,RPS14,-2.0613,1,0.028414,day13,-3.7313,0.131698,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS14,-2.0613,1,0.028414,day7,-3.3534,0.046103,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27,-0.55979,0.042299,0.029239,day13,-5.8288,0.006022,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27,-0.55979,0.042299,0.029239,day7,-3.1991,0.002308,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL29,-0.83313,0.09384,0.071569,day13,-0.73755,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL29,-0.83313,0.09384,0.071569,day7,-1.0202,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,WDR46,-0.71252,0.017174,0.008943,day13,-3.745,0.088524,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,WDR46,-0.71252,0.017174,0.008943,day7,-0.79179,0.123871,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS5,-1.9251,1,0.022318,day13,-4.8994,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS5,-1.9251,1,0.022318,day7,-2.4635,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRTO4,-0.89561,0.02273,0.01325,day13,-3.2327,0.076836,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRTO4,-0.89561,0.02273,0.01325,day7,-0.91831,0.04067,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,PSMD7,-0.82863,0.017262,0.0091106,day13,-5.2327,0.02088,6 Proteasome
heavy,mono,rep1,PSMD7,-0.82863,0.017262,0.0091106,day7,-2.7328,0.001393,6 Proteasome
heavy,mono,rep1,PSMA4,-0.85263,0.034023,0.022064,day13,-5.7719,0.02359,6 Proteasome
heavy,mono,rep1,PSMA4,-0.85263,0.034023,0.022064,day7,-3.7854,0.001091,6 Proteasome
heavy,mono,rep1,TBL3,-0.53235,0.037803,0.025783,day13,-2.8145,0.116093,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TBL3,-0.53235,0.037803,0.025783,day7,-0.72006,0.063956,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PWP2,-0.82046,0.018312,0.0099576,day13,-3.7365,0.123192,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PWP2,-0.82046,0.018312,0.0099576,day7,-1.3167,0.049901,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ZNHIT6,-0.3959,0.036001,0.024139,day13,-3.2779,0.167012,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,ZNHIT6,-0.3959,0.036001,0.024139,day7,-0.19989,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,TSR1,-0.59335,0.017262,0.0091876,day13,-2.1265,0.287294,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR1,-0.59335,0.017262,0.0091876,day7,-0.59714,0.230434,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,SRFBP1,-0.33392,0.035835,0.023862,day13,-0.90664,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,SRFBP1,-0.33392,0.035835,0.023862,day7,-1.0124,0.034782,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS28,-1.0963,0.027524,0.017123,day13,-6.0474,0.012757,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS28,-1.0963,0.027524,0.017123,day7,-2.0188,0.006217,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RRP7A,-0.4817,0.034023,0.022191,day13,-2.4367,0.10717,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RRP7A,-0.4817,0.034023,0.022191,day7,-1.905,0.101743,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PSMC4,-0.96024,0.032084,0.02033,day13,-4.4325,0.028993,6 Proteasome
heavy,mono,rep1,PSMC4,-0.96024,0.032084,0.02033,day7,-4.1721,0.008073,6 Proteasome
heavy,mono,rep1,NAT10,-0.41706,0.024541,0.014845,day13,-4.6716,0.017419,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NAT10,-0.41706,0.024541,0.014845,day7,-1.1687,0.068871,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PSMC1,-0.42244,0.024002,0.014324,day13,-3.7049,0.036698,6 Proteasome
heavy,mono,rep1,PSMC1,-0.42244,0.024002,0.014324,day7,-1.7231,0.015727,6 Proteasome
heavy,mono,rep1,NOB1,-0.38949,0.023485,0.013853,day13,-3.1763,0.047683,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOB1,-0.38949,0.023485,0.013853,day7,-0.83572,0.098899,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,FCF1,-0.56318,0.022555,0.013096,day13,-4.5403,0.023717,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,FCF1,-0.56318,0.022555,0.013096,day7,-1.3795,0.011677,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS3A,-1.7907,0.018789,0.010347,day13,-5.4197,0.028172,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS3A,-1.7907,0.018789,0.010347,day7,-2.4382,0.014832,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ZNF622,-0.70397,0.021119,0.012068,day13,-0.58672,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,ZNF622,-0.70397,0.021119,0.012068,day7,0.34009,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RRP15,-1.4825,0.017262,0.0091786,day13,-1.6246,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RRP15,-1.4825,0.017262,0.0091786,day7,-0.37382,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,ABT1,-0.77862,0.020268,0.011348,day13,-3.415,0.055219,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ABT1,-0.77862,0.020268,0.011348,day7,-1.2328,0.091429,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DDX18,-0.66503,0.020085,0.011153,day13,-3.7999,0.028993,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DDX18,-0.66503,0.020085,0.011153,day7,-1.1575,0.018635,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,PSMA1,-0.55679,0.017262,0.0091333,day13,-4.1249,0.027509,6 Proteasome
heavy,mono,rep1,PSMA1,-0.55679,0.017262,0.0091333,day7,-2.2277,0.003579,6 Proteasome
