sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,reporter,annotation,priority,x
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADAT1,4,0.028184,0.081004,0.171056,233,3,0.12083,0.25157,NA,583,1,-1.1661,0.081004,0.171056,3,NTC,Other,10,22
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADAT1,4,0.87839,0.87896,NA,1789,0,0.8979,0.89903,NA,1839,0,-0.033944,0.87896,1,0,PTC,Other,10,22
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADAT2,4,0.25105,0.4009,NA,845,1,0.049592,0.12599,NA,326,2,0.79159,0.12599,1,2,NTC,Other,10,23
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADAT2,4,0.77249,0.78627,NA,1594,1,0.4921,0.64158,NA,1216,2,0.065543,0.64158,1,2,PTC,Other,10,23
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADAT3,4,0.38693,0.53503,NA,1054,1,0.034031,0.095968,NA,245,2,0.30518,0.095968,1,2,NTC,Other,10,24
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADAT3,4,0.21873,0.37218,NA,778,2,0.69278,0.74227,NA,1451,1,-0.3755,0.37218,1,2,PTC,Other,10,24
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADD1,4,0.84984,0.84941,NA,1749,0,0.32225,0.47706,NA,1033,1,0.071529,0.47706,1,1,NTC,Other,10,25
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADD1,4,0.20393,0.35729,NA,754,2,0.94414,0.94477,NA,1961,0,-0.30881,0.35729,1,2,PTC,Other,10,25
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADD3,4,0.64906,0.70447,NA,1411,1,0.075237,0.1736,0.264348,423,3,0.53044,0.1736,0.264348,3,NTC,Other,10,26
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADD3,4,0.92165,0.92249,NA,1892,0,0.098537,0.21397,0.277916,465,3,0.39007,0.21397,0.277916,3,PTC,Other,10,26
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,ADK,4,0.22703,0.37665,NA,801,1,0.10979,0.23306,0.290451,559,3,0.70704,0.23306,0.290451,3,NTC,Other,10,27
ptc_day7_dmso_bc1_total_vs_ptc_day7_dmso_bc2_total,ptc_day7_dmso_bc1_total,ptc_day7_dmso_bc2_total,ADK,4,0.36069,0.51271,NA,1019,1,0.46451,0.61541,NA,1171,1,-0.0039715,0.51271,1,1,PTC,Other,10,27
ntc_bc1_total_vs_ntc_bc2_total,ntc_bc1_total,ntc_bc2_total,AEN,4,0.3353,0.48373,NA,986,2,0.20884,0.36973,NA,813,1,-0.2611,0.48373,1,2,NTC,Other,10,28
