FlowCell Text Data File: 227l5.csv
Software Version: 1.56A
Date: 2024-02-19
Time: 17:27:37
User: 

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2:30
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.1 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 12
Distance/fraction: 6.53 mm
Start Distance: 0.00 mm
Volume/fraction: 0.931 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: UV OD WITH SINGLE FLUORESCENCE SCAN
Channel A (LED1) Wavelength: 260 nm
Channel B (LED2) Fluor: EGFP
Excitation (LED2) Wavelength: 470 nm
Excitation filter A: 470/40 nm
Emission filter A: 525/50 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
PD2 (470 nm) On Time: 332 ms
Sample A Zero: 980673
Source A Zero: 330068.7
Fluorescence Zero: 1994

Data Columns:
SampleA, SourceA, SampleFluor, Position, AbsA, Fraction Number, Fraction Volume (ml)
892924, 342819, 318, 24.99, 0.296244, , 
886051, 342546, 319, 25.09, 0.311840, , 
880427, 342683, 324, 25.19, 0.327069, , 
875382, 342547, 311, 25.29, 0.339109, , 
871977, 342813, 325, 25.39, 0.349626, , 
868164, 342585, 319, 25.49, 0.357991, , 
867631, 342781, 319, 25.58, 0.360660, , 
866189, 342708, 318, 25.69, 0.363924, , 
866444, 342826, 313, 25.79, 0.364037, , 
868639, 342978, 318, 25.89, 0.359340, , 
869364, 342667, 316, 25.98, 0.355421, , 
872197, 342962, 320, 26.08, 0.350036, , 
874136, 342621, 317, 26.18, 0.342800, 4, 0.938
876571, 342646, 319, 26.28, 0.336704, , 
880626, 342819, 323, 26.39, 0.327454, , 
883892, 342907, 320, 26.48, 0.319701, , 
887327, 342619, 314, 26.58, 0.309081, , 
891053, 342934, 315, 26.68, 0.301719, , 
894966, 342896, 317, 26.78, 0.291609, , 
898695, 343187, 320, 26.88, 0.284160, , 
900517, 342757, 317, 26.98, 0.276781, , 
903821, 343070, 322, 27.08, 0.270593, , 
906251, 342714, 315, 27.18, 0.262214, , 
907749, 342765, 319, 27.28, 0.258833, , 
911476, 343114, 315, 27.38, 0.251902, , 
911824, 342687, 324, 27.48, 0.248240, , 
912850, 342876, 329, 27.58, 0.246950, , 
914377, 343000, 327, 27.68, 0.244003, , 
914268, 342659, 326, 27.78, 0.242033, , 
915120, 342899, 324, 27.88, 0.241512, , 
916274, 342945, 328, 27.98, 0.238978, , 
915956, 342964, 321, 28.08, 0.239884, , 
915191, 342964, 319, 28.18, 0.241764, , 
913884, 342755, 316, 28.28, 0.243609, , 
913846, 343061, 319, 28.38, 0.245710, , 
912413, 342962, 319, 28.48, 0.248592, , 
910951, 343153, 316, 28.58, 0.253454, , 
907662, 342584, 314, 28.68, 0.257860, , 
906208, 342937, 317, 28.78, 0.263785, , 
904166, 342780, 310, 28.88, 0.267831, , 
901467, 342998, 314, 28.97, 0.275990, , 
898233, 343011, 314, 29.08, 0.284163, , 
894642, 342906, 321, 29.17, 0.292489, , 
890729, 342764, 307, 29.27, 0.301421, , 
886424, 342884, 319, 29.37, 0.313112, , 
883364, 343160, 311, 29.47, 0.322705, , 
875777, 342765, 315, 29.57, 0.339525, , 
870748, 342618, 322, 29.67, 0.351520, , 
864025, 342769, 327, 29.77, 0.369954, , 
857954, 342849, 316, 29.87, 0.386348, , 
850065, 342946, 321, 29.97, 0.407773, , 
841053, 342972, 320, 30.07, 0.431929, , 
830220, 342668, 323, 30.17, 0.459108, , 
818051, 342683, 334, 30.27, 0.492437, , 
806482, 343007, 320, 30.37, 0.526617, , 
791645, 342807, 320, 30.47, 0.567091, , 
777297, 343202, 318, 30.57, 0.610845, , 
760624, 342908, 318, 30.67, 0.657713, , 
740612, 342804, 324, 30.77, 0.717032, , 
720761, 343029, 322, 30.87, 0.779651, , 
700480, 342832, 324, 30.97, 0.842590, , 
677978, 342805, 317, 31.07, 0.915892, , 
653898, 343056, 330, 31.17, 0.998922, , 
632137, 342891, 327, 31.27, 1.074006, , 
614082, 342773, 328, 31.37, 1.138444, , 
597667, 342638, 325, 31.47, 1.198532, , 
586338, 342809, 320, 31.57, 1.242723, , 
576069, 342993, 317, 31.67, 1.283693, , 
566211, 343100, 328, 31.77, 1.323239, , 
565685, 342900, 327, 31.87, 1.324018, , 
568311, 342823, 321, 31.96, 1.313090, , 
574002, 342832, 329, 32.07, 1.290726, , 
578187, 342930, 330, 32.17, 1.275021, , 
585486, 342753, 329, 32.26, 1.245627, , 
596954, 342924, 326, 32.37, 1.203096, , 
607788, 342727, 322, 32.46, 1.161327, , 
620788, 342814, 328, 32.56, 1.114271, , 
635223, 343016, 318, 32.66, 1.063867, 5, 0.924
651679, 343264, 330, 32.76, 1.007936, , 
662876, 342687, 321, 32.86, 0.965812, , 
678143, 342681, 327, 32.96, 0.914530, , 
692717, 342938, 326, 33.06, 0.868365, , 
706962, 342717, 332, 33.16, 0.821106, , 
716283, 342641, 322, 33.26, 0.791130, , 
731678, 343032, 325, 33.36, 0.745840, , 
745035, 342780, 326, 33.46, 0.703475, , 
754293, 342840, 325, 33.56, 0.676076, , 
765769, 342966, 331, 33.66, 0.642922, , 
776655, 342807, 323, 33.76, 0.610112, , 
786147, 343128, 325, 33.86, 0.584881, , 
794124, 342910, 329, 33.96, 0.560731, , 
804632, 342933, 327, 34.06, 0.531299, , 
810674, 343037, 329, 34.16, 0.515146, , 
819329, 342940, 327, 34.26, 0.490611, , 
825990, 342903, 331, 34.36, 0.472146, , 
832264, 342627, 325, 34.46, 0.453305, , 
840359, 343020, 330, 34.56, 0.434102, , 
848800, 342898, 331, 34.66, 0.410810, , 
853016, 343112, 333, 34.76, 0.401063, , 
857538, 342989, 318, 34.86, 0.388358, , 
864206, 342917, 337, 34.96, 0.370454, , 
872667, 342982, 332, 35.06, 0.348955, , 
872350, 342971, 331, 35.15, 0.349701, , 
876740, 342827, 335, 35.26, 0.337459, , 
883948, 342785, 328, 35.35, 0.318757, , 
886469, 342860, 334, 35.46, 0.312840, , 
891017, 342895, 331, 35.55, 0.301554, , 
896191, 342772, 331, 35.65, 0.287716, , 
897846, 342805, 339, 35.75, 0.283781, , 
899931, 342783, 337, 35.85, 0.278417, , 
905946, 342971, 334, 35.95, 0.264659, , 
908428, 343060, 329, 36.05, 0.259086, , 
909795, 342806, 324, 36.15, 0.254035, , 
912809, 342847, 336, 36.25, 0.246861, , 
916434, 342744, 326, 36.35, 0.237266, , 
917314, 342879, 338, 36.45, 0.235992, , 
920913, 342880, 326, 36.55, 0.227186, , 
922178, 342720, 333, 36.65, 0.223047, , 
923583, 342979, 334, 36.75, 0.221321, , 
926036, 342928, 336, 36.85, 0.215017, , 
928079, 342672, 332, 36.95, 0.208377, , 
928818, 342881, 322, 37.05, 0.207958, , 
930797, 342712, 337, 37.15, 0.202059, , 
931549, 342616, 325, 37.25, 0.199611, , 
933551, 342644, 329, 37.35, 0.194963, , 
937336, 342820, 329, 37.45, 0.187013, , 
938573, 342820, 333, 37.55, 0.184045, , 
938076, 342787, 336, 37.64, 0.185021, , 
939041, 342979, 330, 37.75, 0.183967, , 
942944, 343054, 331, 37.85, 0.175125, , 
941918, 342382, 333, 37.95, 0.173162, , 
942857, 342829, 334, 38.05, 0.173856, , 
943209, 342722, 333, 38.14, 0.172314, , 
946567, 342635, 332, 38.25, 0.163744, , 
947445, 342890, 334, 38.34, 0.163332, , 
948175, 342697, 336, 38.45, 0.160332, , 
949117, 342853, 333, 38.54, 0.159121, , 
950107, 343066, 334, 38.64, 0.158173, , 
950546, 342815, 338, 38.74, 0.155486, , 
952339, 342887, 329, 38.84, 0.151718, , 
951582, 343025, 330, 38.94, 0.154413, , 
952678, 342961, 332, 39.04, 0.151403, , 
954113, 342978, 334, 39.14, 0.148127, , 
954622, 342846, 330, 39.24, 0.146060, 6, 0.938
954820, 343027, 328, 39.34, 0.146781, , 
955799, 342975, 339, 39.44, 0.144134, , 
955883, 342978, 327, 39.54, 0.143956, , 
956376, 342977, 330, 39.64, 0.142789, , 
957343, 342861, 335, 39.74, 0.139753, , 
956807, 342844, 338, 39.84, 0.140902, , 
958804, 343094, 336, 39.94, 0.137850, , 
957658, 342843, 324, 40.04, 0.138895, , 
957736, 342890, 334, 40.14, 0.139020, , 
957820, 342754, 338, 40.24, 0.137930, , 
960105, 342706, 341, 40.34, 0.132253, , 
